2026-07-29T03:14:25.843+00:00 [claude-cli-sonnet-4-6] start (claude-cli)
2026-07-29T03:14:40.742+00:00 [claude-cli-sonnet-4-6] ag-001-fix-bugs: ok, score 1.00, 14.6s, tok 135446/593, retries 0
2026-07-29T06:08:50.147+00:00 [claude-cli-sonnet-4-6] rs-013-statemachine-trace: ok, score 1.00, 37.4s, tok 18008/2894, retries 0
2026-07-29T06:08:55.304+00:00 [claude-cli-sonnet-4-6] tool-001-select-call: ok, score 1.00, 4.9s, tok 17464/35, retries 0
2026-07-29T06:08:58.762+00:00 [claude-cli-sonnet-4-6] tool-002-select-hard: ok, score 1.00, 3.2s, tok 17602/21, retries 0
2026-07-29T06:08:58.762+00:00 [claude-cli-sonnet-4-6] done
2026-07-29T06:08:58.762+00:00 [gemini-3.5-flash] start (openai)
2026-07-29T06:09:28.683+00:00 [gemini-3.5-flash] ag-001-fix-bugs: ok, score 1.00, 29.4s, tok 17359/3384, retries 0
2026-07-29T06:10:22.927+00:00 [gemini-3.5-flash] ag-002-build-cli: max_turns, score 1.00, 53.7s, tok 24293/6773, retries 0
2026-07-29T06:11:15.113+00:00 [gemini-3.5-flash] ag-003-fix-package: max_turns, score 0.40, 51.9s, tok 28912/6477, retries 0
2026-07-29T06:11:39.112+00:00 [gemini-3.5-flash] ag-004-data-pipeline: ok, score 1.00, 23.7s, tok 6421/4082, retries 0
2026-07-29T06:11:51.335+00:00 [gemini-3.5-flash] ag-005-codebase-recon: ok, score 1.00, 11.9s, tok 13343/893, retries 0
2026-07-29T06:12:34.914+00:00 [gemini-3.5-flash] ag-006-perf-optimize: ok, score 1.00, 42.6s, tok 11977/7037, retries 0
2026-07-29T06:13:35.531+00:00 [gemini-3.5-flash] ag-007-regression-hunt: max_turns, score 0.33, 60.3s, tok 40263/8650, retries 0
2026-07-29T06:14:14.214+00:00 [gemini-3.5-flash] ag-008-collections-fix: max_turns, score 1.00, 38.4s, tok 21876/3871, retries 0
2026-07-29T06:14:37.711+00:00 [gemini-3.5-flash] py-003-date-parser: ok, score 1.00, 23.2s, tok 307/5286, retries 0
2026-07-29T06:15:57.715+00:00 [gemini-3.5-flash] py-004-expr-eval: ok, score 1.00, 79.7s, tok 314/14321, retries 0
2026-07-29T06:17:56.079+00:00 [gemini-3.5-flash] py-005-csv-parser: ok, score 1.00, 118.1s, tok 326/21683, retries 0
2026-07-29T06:18:15.932+00:00 [gemini-3.5-flash] py-006-toposort: ok, score 1.00, 19.6s, tok 273/3436, retries 0
2026-07-29T06:19:18.630+00:00 [gemini-3.5-flash] py-007-regex-engine: ok, score 1.00, 62.4s, tok 267/12209, retries 0
2026-07-29T06:21:02.329+00:00 [gemini-3.5-flash] py-008-json-parser: ok, score 1.00, 103.4s, tok 354/18836, retries 0
2026-07-29T06:21:06.486+00:00 [gemini-3.5-flash] ext-001-fields-json: ok, score 1.00, 3.9s, tok 162/598, retries 0
2026-07-29T06:21:14.645+00:00 [gemini-3.5-flash] ext-002-nested-normalize: ok, score 1.00, 7.9s, tok 351/1512, retries 0
2026-07-29T06:21:18.273+00:00 [gemini-3.5-flash] hl-001-grounded-qa: ok, score 1.00, 3.3s, tok 207/500, retries 0
2026-07-29T06:21:23.554+00:00 [gemini-3.5-flash] hl-002-abstain-hard: ok, score 1.00, 5.0s, tok 273/981, retries 0
2026-07-29T06:21:32.378+00:00 [gemini-3.5-flash] if-001-format-exact: ok, score 1.00, 8.5s, tok 146/1626, retries 0
2026-07-29T06:21:45.881+00:00 [gemini-3.5-flash] if-002-constraint-stack: ok, score 1.00, 13.2s, tok 152/2247, retries 0
2026-07-29T06:21:50.139+00:00 [gemini-3.5-flash] ctx-003-recall-32k: ok, score 1.00, 4.2s, tok 46976/623, retries 0
2026-07-29T06:21:54.564+00:00 [gemini-3.5-flash] ctx-004-recall-64k: ok, score 1.00, 4.4s, tok 93423/579, retries 0
2026-07-29T06:22:01.479+00:00 [gemini-3.5-flash] ctx-005-aggregate-16k: ok, score 1.00, 6.9s, tok 23532/1296, retries 0
2026-07-29T06:22:16.175+00:00 [gemini-3.5-flash] ctx-006-superseded-16k: ok, score 1.00, 14.7s, tok 23806/3150, retries 0
2026-07-29T06:22:28.102+00:00 [gemini-3.5-flash] ctx-007-tally-16k: ok, score 1.00, 11.9s, tok 24098/2528, retries 0
2026-07-29T06:22:33.667+00:00 [gemini-3.5-flash] ctx-008-recall-128k: ok, score 1.00, 5.6s, tok 186180/550, retries 0
2026-07-29T06:22:39.080+00:00 [gemini-3.5-flash] ctx-009-multihop-32k: ok, score 1.00, 5.4s, tok 47442/1089, retries 0
2026-07-29T06:22:47.148+00:00 [gemini-3.5-flash] ctx-010-decoy-recall-32k: ok, score 1.00, 8.1s, tok 41699/2540, retries 0
2026-07-29T06:22:54.338+00:00 [gemini-3.5-flash] ctx-011-multihop-deep-32k: ok, score 1.00, 7.2s, tok 20392/1579, retries 0
2026-07-29T06:24:35.495+00:00 [gemini-3.5-flash] ctx-012-aggregate-reversals-32k: ok, score 0.00, 101.2s, tok 30962/27153, retries 0
2026-07-29T06:28:05.093+00:00 [gemini-3.5-flash] ctx-013-ledger-supersede-64k: ok, score 0.80, 209.2s, tok 30003/54909, retries 0
2026-07-29T06:28:12.239+00:00 [gemini-3.5-flash] math-001-multistep: ok, score 1.00, 7.1s, tok 151/1286, retries 0
2026-07-29T06:28:18.865+00:00 [gemini-3.5-flash] math-002-rate-mix: ok, score 1.00, 6.6s, tok 164/1284, retries 0
2026-07-29T06:29:47.115+00:00 [gemini-3.5-flash] web-001-desktop: ok, score 1.00, 83.5s, tok 625/21085, retries 0
2026-07-29T06:31:57.124+00:00 [gemini-3.5-flash] web-002-maze: ok, score 1.00, 126.8s, tok 756/27652, retries 0
2026-07-29T06:33:28.092+00:00 [gemini-3.5-flash] web-003-sand: ok, score 1.00, 89.8s, tok 709/21370, retries 0
2026-07-29T06:34:22.123+00:00 [gemini-3.5-flash] web-004-kanban: ok, score 0.33, 50.7s, tok 397/12174, retries 0
2026-07-29T06:35:17.429+00:00 [gemini-3.5-flash] web-005-expense: ok, score 1.00, 51.1s, tok 509/12828, retries 0
2026-07-29T06:37:00.431+00:00 [gemini-3.5-flash] web-006-spreadsheet: ok, score 1.00, 100.0s, tok 546/22447, retries 0
2026-07-29T06:38:17.637+00:00 [gemini-3.5-flash] web-007-life: ok, score 1.00, 75.9s, tok 577/14756, retries 0
2026-07-29T06:39:16.645+00:00 [gemini-3.5-flash] web-008-snake: ok, score 1.00, 57.8s, tok 537/12931, retries 0
2026-07-29T06:40:08.925+00:00 [gemini-3.5-flash] web-009-physics: ok, score 1.00, 51.1s, tok 468/10761, retries 0
2026-07-29T06:41:11.709+00:00 [gemini-3.5-flash] web-010-2048: ok, score 1.00, 61.6s, tok 530/14575, retries 0
2026-07-29T06:41:58.773+00:00 [gemini-3.5-flash] web-011-sort: ok, score 1.00, 45.9s, tok 418/9666, retries 0
2026-07-29T06:45:07.362+00:00 [gemini-3.5-flash] web-012-coin: ok, score 0.74, 184.0s, tok 906/37719, retries 0
2026-07-29T06:47:09.848+00:00 [gemini-3.5-flash] web-013-billiards: ok, score 0.50, 121.1s, tok 781/25762, retries 0
2026-07-29T06:47:16.427+00:00 [gemini-3.5-flash] rs-006-string-pipeline: ok, score 0.00, 6.6s, tok 227/1383, retries 0
2026-07-29T06:47:27.297+00:00 [gemini-3.5-flash] rs-008-river-boat: ok, score 1.00, 10.9s, tok 213/2010, retries 0
2026-07-29T06:47:35.482+00:00 [gemini-3.5-flash] rs-009-birthday-twist: ok, score 1.00, 8.2s, tok 166/1491, retries 0
2026-07-29T06:48:00.565+00:00 [gemini-3.5-flash] rs-010-ants-rod: ok, score 1.00, 25.1s, tok 199/5356, retries 0
2026-07-29T06:48:08.794+00:00 [gemini-3.5-flash] rs-011-gear-axle-train: ok, score 1.00, 8.2s, tok 339/1859, retries 0
2026-07-29T06:48:19.551+00:00 [gemini-3.5-flash] rs-012-permutation-track: ok, score 1.00, 10.8s, tok 354/2266, retries 0
2026-07-29T06:48:34.654+00:00 [gemini-3.5-flash] rs-013-statemachine-trace: ok, score 1.00, 14.8s, tok 722/3575, retries 0
2026-07-29T06:48:36.887+00:00 [gemini-3.5-flash] tool-001-select-call: ok, score 1.00, 2.0s, tok 232/218, retries 0
2026-07-29T06:48:39.203+00:00 [gemini-3.5-flash] tool-002-select-hard: ok, score 1.00, 2.0s, tok 249/239, retries 0
2026-07-29T06:48:39.203+00:00 [gemini-3.5-flash] done
2026-07-29T06:48:39.203+00:00 [hy3] start (openai)
2026-07-29T06:49:10.894+00:00 [hy3] ag-001-fix-bugs: ok, score 1.00, 31.2s, tok 7927/894, retries 0
2026-07-29T06:50:47.009+00:00 [hy3] ag-002-build-cli: ok, score 1.00, 95.6s, tok 12610/3375, retries 0
2026-07-29T06:51:59.440+00:00 [hy3] ag-003-fix-package: ok, score 1.00, 72.1s, tok 15254/2286, retries 0
2026-07-29T06:52:21.311+00:00 [hy3] ag-004-data-pipeline: ok, score 1.00, 21.6s, tok 6614/1362, retries 0
2026-07-29T06:52:37.941+00:00 [hy3] ag-005-codebase-recon: ok, score 1.00, 16.3s, tok 11040/478, retries 0
2026-07-29T06:53:18.847+00:00 [hy3] ag-006-perf-optimize: ok, score 1.00, 39.9s, tok 6578/1063, retries 0
2026-07-29T06:54:08.001+00:00 [hy3] ag-007-regression-hunt: ok, score 1.00, 48.9s, tok 25286/3463, retries 0
2026-07-29T06:55:00.272+00:00 [hy3] ag-008-collections-fix: ok, score 1.00, 52.0s, tok 20958/1544, retries 0
2026-07-29T06:59:13.991+00:00 [hy3] py-003-date-parser: ok, score 1.00, 253.4s, tok 282/27895, retries 0
2026-07-29T07:10:57.019+00:00 [hy3] py-004-expr-eval: ok, score 1.00, 702.7s, tok 305/32786, retries 0
2026-07-29T07:18:08.674+00:00 [hy3] py-005-csv-parser: ok, score 1.00, 431.4s, tok 316/28321, retries 0
2026-07-29T07:21:27.172+00:00 [hy3] py-006-toposort: ok, score 1.00, 198.2s, tok 272/14983, retries 0
2026-07-29T07:26:35.811+00:00 [hy3] py-007-regex-engine: ok, score 1.00, 308.3s, tok 261/25431, retries 0
2026-07-29T07:31:56.141+00:00 [hy3] py-008-json-parser: ok, score 1.00, 320.0s, tok 346/28608, retries 0
2026-07-29T07:32:10.340+00:00 [hy3] ext-001-fields-json: ok, score 1.00, 13.9s, tok 160/996, retries 0
2026-07-29T07:32:31.564+00:00 [hy3] ext-002-nested-normalize: ok, score 1.00, 20.9s, tok 324/1400, retries 0
2026-07-29T07:32:40.067+00:00 [hy3] hl-001-grounded-qa: ok, score 1.00, 8.2s, tok 203/470, retries 0
2026-07-29T07:32:49.520+00:00 [hy3] hl-002-abstain-hard: ok, score 1.00, 9.2s, tok 271/623, retries 0
2026-07-29T07:33:05.153+00:00 [hy3] if-001-format-exact: ok, score 1.00, 15.3s, tok 154/765, retries 0
2026-07-29T07:33:40.071+00:00 [hy3] if-002-constraint-stack: ok, score 1.00, 34.6s, tok 159/1553, retries 0
2026-07-29T07:37:44.692+00:00 [hy3] ctx-003-recall-32k: ok, score 1.00, 244.6s, tok 37618/14704, retries 0
2026-07-29T07:38:28.998+00:00 [hy3] ctx-004-recall-64k: ok, score 1.00, 44.3s, tok 74863/2770, retries 0
2026-07-29T07:38:56.585+00:00 [hy3] ctx-005-aggregate-16k: ok, score 1.00, 27.6s, tok 18877/1405, retries 0
2026-07-29T07:39:51.690+00:00 [hy3] ctx-006-superseded-16k: ok, score 1.00, 55.1s, tok 19134/5372, retries 0
2026-07-29T07:40:59.643+00:00 [hy3] ctx-007-tally-16k: ok, score 1.00, 67.9s, tok 19327/4012, retries 0
2026-07-29T07:41:34.087+00:00 [hy3] ctx-008-recall-128k: ok, score 1.00, 34.4s, tok 149205/608, retries 0
2026-07-29T07:41:53.151+00:00 [hy3] ctx-009-multihop-32k: ok, score 1.00, 19.1s, tok 37989/554, retries 0
2026-07-29T07:43:00.112+00:00 [hy3] ctx-010-decoy-recall-32k: ok, score 1.00, 67.0s, tok 36819/4584, retries 0
2026-07-29T07:43:28.907+00:00 [hy3] ctx-011-multihop-deep-32k: ok, score 1.00, 28.8s, tok 16798/1874, retries 0
2026-07-29T07:46:43.405+00:00 [hy3] ctx-012-aggregate-reversals-32k: ok, score 1.00, 194.5s, tok 24624/11325, retries 0
2026-07-29T07:56:08.267+00:00 [hy3] ctx-013-ledger-supersede-64k: ok, score 0.60, 564.6s, tok 26946/53608, retries 0
2026-07-29T07:57:33.863+00:00 [hy3] math-001-multistep: ok, score 1.00, 85.6s, tok 155/4686, retries 0
2026-07-29T07:57:50.583+00:00 [hy3] math-002-rate-mix: ok, score 1.00, 16.7s, tok 169/928, retries 0
2026-07-29T08:05:09.263+00:00 [hy3] web-001-desktop: ok, score 0.90, 434.2s, tok 608/24915, retries 0
2026-07-29T08:12:43.674+00:00 [hy3] web-002-maze: ok, score 1.00, 451.1s, tok 730/35833, retries 0
2026-07-29T08:19:12.033+00:00 [hy3] web-003-sand: ok, score 1.00, 387.2s, tok 688/30752, retries 0
2026-07-29T08:22:48.554+00:00 [hy3] web-004-kanban: ok, score 1.00, 212.8s, tok 391/12935, retries 0
2026-07-29T08:27:04.153+00:00 [hy3] web-005-expense: ok, score 1.00, 251.4s, tok 493/19009, retries 0
2026-07-29T08:35:52.541+00:00 [hy3] web-006-spreadsheet: ok, score 1.00, 525.4s, tok 525/34690, retries 0
2026-07-29T08:39:16.332+00:00 [hy3] web-007-life: ok, score 1.00, 202.6s, tok 556/19916, retries 0
2026-07-29T08:39:56.233+00:00 [hy3] web-008-snake: error, score 0.00, 39.9s, tok ?/?, retries 0
2026-07-29T08:44:19.048+00:00 [hy3] web-009-physics: ok, score 1.00, 261.7s, tok 460/16692, retries 0
2026-07-29T08:50:26.379+00:00 [hy3] web-010-2048: ok, score 1.00, 366.2s, tok 514/26392, retries 0
2026-07-29T08:55:13.901+00:00 [hy3] web-011-sort: ok, score 1.00, 286.4s, tok 419/25329, retries 0
2026-07-29T08:58:45.847+00:00 [hy3] web-012-coin: ok, score 0.00, 210.6s, tok 904/36680, retries 0
2026-07-29T09:08:39.403+00:00 [hy3] web-013-billiards: ok, score 0.80, 592.0s, tok 758/36097, retries 0
2026-07-29T09:09:30.846+00:00 [hy3] rs-006-string-pipeline: ok, score 1.00, 51.4s, tok 228/4760, retries 0
2026-07-29T09:10:06.658+00:00 [hy3] rs-008-river-boat: ok, score 1.00, 35.8s, tok 218/4590, retries 0
2026-07-29T09:12:32.152+00:00 [hy3] rs-009-birthday-twist: ok, score 1.00, 145.5s, tok 173/10057, retries 0
2026-07-29T09:18:40.419+00:00 [hy3] rs-010-ants-rod: ok, score 1.00, 368.3s, tok 197/19526, retries 0
2026-07-29T09:19:09.329+00:00 [hy3] rs-011-gear-axle-train: ok, score 1.00, 28.9s, tok 339/1515, retries 0
2026-07-29T09:19:39.739+00:00 [hy3] rs-012-permutation-track: ok, score 1.00, 30.4s, tok 343/3734, retries 0
2026-07-29T09:21:50.998+00:00 [hy3] rs-013-statemachine-trace: ok, score 1.00, 131.0s, tok 697/11656, retries 0
2026-07-29T09:21:55.039+00:00 [hy3] tool-001-select-call: ok, score 1.00, 3.8s, tok 226/328, retries 0
2026-07-29T09:22:02.606+00:00 [hy3] tool-002-select-hard: ok, score 1.00, 7.3s, tok 245/271, retries 0
2026-07-29T09:22:02.606+00:00 [hy3] done
2026-07-29T09:22:02.606+00:00 [ling-3.0-flash-free] start (openai)
2026-07-29T09:22:12.458+00:00 [ling-3.0-flash-free] ag-001-fix-bugs: ok, score 1.00, 9.3s, tok 10497/1261, retries 0
2026-07-29T09:22:35.619+00:00 [ling-3.0-flash-free] ag-002-build-cli: ok, score 1.00, 22.7s, tok 12021/1515, retries 1
2026-07-29T09:23:01.671+00:00 [ling-3.0-flash-free] ag-003-fix-package: ok, score 1.00, 25.7s, tok 18040/2065, retries 0
2026-07-29T09:23:23.083+00:00 [ling-3.0-flash-free] ag-004-data-pipeline: ok, score 1.00, 21.1s, tok 7814/2015, retries 0
2026-07-29T09:23:34.533+00:00 [ling-3.0-flash-free] ag-005-codebase-recon: ok, score 1.00, 11.2s, tok 15797/908, retries 0
2026-07-29T09:23:53.874+00:00 [ling-3.0-flash-free] ag-006-perf-optimize: ok, score 1.00, 18.4s, tok 21072/2865, retries 0
2026-07-29T09:24:22.955+00:00 [ling-3.0-flash-free] ag-007-regression-hunt: max_turns, score 1.00, 28.8s, tok 50206/2777, retries 0
2026-07-29T09:24:41.150+00:00 [ling-3.0-flash-free] ag-008-collections-fix: max_turns, score 1.00, 17.9s, tok 41875/1118, retries 0
2026-07-29T09:24:47.908+00:00 [ling-3.0-flash-free] py-003-date-parser: error, score 0.00, 6.8s, tok ?/?, retries 0
2026-07-29T09:28:23.300+00:00 [ling-3.0-flash-free] py-004-expr-eval: error, score 0.00, 215.4s, tok 670/65536, retries 1
2026-07-29T09:31:39.632+00:00 [ling-3.0-flash-free] py-005-csv-parser: error, score 0.00, 196.3s, tok 688/65536, retries 1
2026-07-29T09:31:53.412+00:00 [ling-3.0-flash-free] py-006-toposort: ok, score 1.00, 13.5s, tok 291/4043, retries 0
2026-07-29T09:33:09.478+00:00 [ling-3.0-flash-free] py-007-regex-engine: error, score 0.00, 76.1s, tok ?/?, retries 0
2026-07-29T09:34:35.957+00:00 [ling-3.0-flash-free] py-008-json-parser: ok, score 1.00, 86.2s, tok 378/30119, retries 0
2026-07-29T09:34:40.018+00:00 [ling-3.0-flash-free] ext-001-fields-json: ok, score 1.00, 3.8s, tok 185/1060, retries 0
2026-07-29T09:34:42.643+00:00 [ling-3.0-flash-free] ext-002-nested-normalize: ok, score 1.00, 2.3s, tok 373/506, retries 0
2026-07-29T09:34:43.996+00:00 [ling-3.0-flash-free] hl-001-grounded-qa: ok, score 1.00, 1.1s, tok 230/101, retries 0
2026-07-29T09:34:45.717+00:00 [ling-3.0-flash-free] hl-002-abstain-hard: ok, score 1.00, 1.4s, tok 296/222, retries 0
2026-07-29T09:34:55.292+00:00 [ling-3.0-flash-free] if-001-format-exact: ok, score 1.00, 9.3s, tok 168/1291, retries 0
2026-07-29T09:34:59.867+00:00 [ling-3.0-flash-free] if-002-constraint-stack: ok, score 1.00, 4.3s, tok 177/1665, retries 0
2026-07-29T09:35:03.198+00:00 [ling-3.0-flash-free] ctx-003-recall-32k: ok, score 1.00, 3.3s, tok 47449/118, retries 0
2026-07-29T09:35:10.650+00:00 [ling-3.0-flash-free] ctx-004-recall-64k: ok, score 1.00, 7.4s, tok 94390/110, retries 0
2026-07-29T09:35:13.138+00:00 [ling-3.0-flash-free] ctx-005-aggregate-16k: ok, score 1.00, 2.5s, tok 23777/173, retries 0
2026-07-29T09:35:15.676+00:00 [ling-3.0-flash-free] ctx-006-superseded-16k: ok, score 1.00, 2.5s, tok 24094/265, retries 0
2026-07-29T09:35:19.472+00:00 [ling-3.0-flash-free] ctx-007-tally-16k: ok, score 1.00, 3.8s, tok 24340/877, retries 0
2026-07-29T09:35:33.881+00:00 [ling-3.0-flash-free] ctx-008-recall-128k: ok, score 1.00, 14.4s, tok 188184/276, retries 0
2026-07-29T09:35:37.820+00:00 [ling-3.0-flash-free] ctx-009-multihop-32k: ok, score 1.00, 3.9s, tok 47965/286, retries 0
2026-07-29T09:35:42.654+00:00 [ling-3.0-flash-free] ctx-010-decoy-recall-32k: ok, score 1.00, 4.8s, tok 42895/814, retries 0
2026-07-29T09:35:44.727+00:00 [ling-3.0-flash-free] ctx-011-multihop-deep-32k: ok, score 1.00, 2.1s, tok 20704/201, retries 0
2026-07-29T09:35:57.432+00:00 [ling-3.0-flash-free] ctx-012-aggregate-reversals-32k: ok, score 0.00, 12.7s, tok 32289/4285, retries 0
2026-07-29T09:39:42.614+00:00 [ling-3.0-flash-free] ctx-013-ledger-supersede-64k: error, score 0.00, 225.2s, tok 59612/65536, retries 1
