2026-07-27T16:31:12.580+00:00 [gemma-4-26b-a4b] start (openai, local)
2026-07-27T16:31:12.614+00:00 [gemma-4-26b-a4b] lms: unloading to free VRAM...
2026-07-27T16:31:12.832+00:00 [gemma-4-26b-a4b] lms: loading google/gemma-4-26b-a4b @ context 212,992 (max GPU offload) for 55 task(s)...
2026-07-27T16:31:29.741+00:00 [gemma-4-26b-a4b] loaded @ 212,992 (cold 12.0s)
2026-07-27T16:31:59.297+00:00 [gemma-4-26b-a4b] ag-001-fix-bugs: ok, score 1.00, 28.9s, tok 9741/2475, retries 0
2026-07-27T16:40:34.955+00:00 [gemma-4-26b-a4b] ctx-007-tally-16k: ok, score 1.00, 26.5s, tok 24114/3973, retries 0
2026-07-27T16:42:03.453+00:00 [gemma-4-26b-a4b] ctx-008-recall-128k: ok, score 1.00, 88.5s, tok 186196/5663, retries 0
2026-07-27T16:42:18.098+00:00 [gemma-4-26b-a4b] ctx-009-multihop-32k: ok, score 1.00, 14.6s, tok 47458/967, retries 0
2026-07-27T16:42:49.079+00:00 [gemma-4-26b-a4b] ctx-010-decoy-recall-32k: ok, score 1.00, 31.0s, tok 41715/4143, retries 0
2026-07-27T16:43:01.107+00:00 [gemma-4-26b-a4b] ctx-011-multihop-deep-32k: ok, score 1.00, 12.0s, tok 20408/1397, retries 0
2026-07-27T16:44:57.111+00:00 [gemma-4-26b-a4b] ctx-012-aggregate-reversals-32k: ok, score 0.00, 116.0s, tok 30978/19573, retries 0
2026-07-27T16:48:10.297+00:00 [gemma-4-26b-a4b] ctx-013-ledger-supersede-64k: ok, score 0.00, 192.9s, tok 30019/32768, retries 0
2026-07-27T16:48:16.760+00:00 [gemma-4-26b-a4b] ext-001-fields-json: ok, score 1.00, 6.2s, tok 178/803, retries 0
2026-07-27T16:48:28.854+00:00 [gemma-4-26b-a4b] ext-002-nested-normalize: ok, score 1.00, 11.8s, tok 367/2043, retries 0
2026-07-27T16:48:33.264+00:00 [gemma-4-26b-a4b] hl-001-grounded-qa: ok, score 1.00, 4.1s, tok 223/387, retries 0
2026-07-27T16:48:39.584+00:00 [gemma-4-26b-a4b] hl-002-abstain-hard: ok, score 1.00, 6.0s, tok 289/794, retries 0
2026-07-27T16:48:50.246+00:00 [gemma-4-26b-a4b] if-001-format-exact: ok, score 1.00, 10.4s, tok 162/1732, retries 0
2026-07-27T16:49:26.166+00:00 [gemma-4-26b-a4b] if-002-constraint-stack: ok, score 1.00, 35.6s, tok 168/6720, retries 0
2026-07-27T16:49:36.413+00:00 [gemma-4-26b-a4b] math-001-multistep: ok, score 1.00, 10.2s, tok 167/1683, retries 0
2026-07-27T16:49:47.775+00:00 [gemma-4-26b-a4b] math-002-rate-mix: ok, score 1.00, 11.4s, tok 180/1951, retries 0
2026-07-27T16:50:13.073+00:00 [gemma-4-26b-a4b] py-003-date-parser: ok, score 1.00, 25.0s, tok 323/4650, retries 0
2026-07-27T16:50:51.701+00:00 [gemma-4-26b-a4b] py-004-expr-eval: ok, score 0.89, 38.3s, tok 330/7259, retries 0
2026-07-27T16:51:40.593+00:00 [gemma-4-26b-a4b] py-005-csv-parser: ok, score 1.00, 48.6s, tok 342/9167, retries 0
2026-07-27T16:51:59.550+00:00 [gemma-4-26b-a4b] py-006-toposort: ok, score 1.00, 18.7s, tok 289/3395, retries 0
2026-07-27T16:52:52.411+00:00 [gemma-4-26b-a4b] py-007-regex-engine: ok, score 1.00, 52.6s, tok 283/9977, retries 0
2026-07-27T16:53:42.299+00:00 [gemma-4-26b-a4b] py-008-json-parser: ok, score 0.86, 49.6s, tok 370/9399, retries 0
2026-07-27T16:55:01.667+00:00 [gemma-4-26b-a4b] rs-006-string-pipeline: ok, score 0.00, 79.4s, tok 243/15127, retries 0
2026-07-27T16:55:41.057+00:00 [gemma-4-26b-a4b] rs-008-river-boat: ok, score 1.00, 39.4s, tok 229/7403, retries 0
2026-07-27T16:56:27.000+00:00 [gemma-4-26b-a4b] rs-009-birthday-twist: ok, score 1.00, 45.9s, tok 182/8771, retries 0
2026-07-27T16:57:22.277+00:00 [gemma-4-26b-a4b] rs-010-ants-rod: ok, score 1.00, 55.3s, tok 215/10393, retries 0
2026-07-27T16:58:01.553+00:00 [gemma-4-26b-a4b] rs-011-gear-axle-train: ok, score 1.00, 39.3s, tok 355/7446, retries 0
2026-07-27T16:58:39.587+00:00 [gemma-4-26b-a4b] rs-012-permutation-track: ok, score 1.00, 38.0s, tok 370/7225, retries 0
2026-07-27T16:59:41.213+00:00 [gemma-4-26b-a4b] rs-013-statemachine-trace: ok, score 1.00, 61.3s, tok 738/11597, retries 0
2026-07-27T16:59:45.057+00:00 [gemma-4-26b-a4b] tool-001-select-call: ok, score 1.00, 3.6s, tok 248/250, retries 0
2026-07-27T16:59:48.133+00:00 [gemma-4-26b-a4b] tool-002-select-hard: ok, score 1.00, 2.8s, tok 265/104, retries 0
2026-07-27T17:01:39.652+00:00 [gemma-4-26b-a4b] web-001-desktop: ok, score 0.60, 46.2s, tok 641/8677, retries 0
2026-07-27T17:03:37.844+00:00 [gemma-4-26b-a4b] web-002-maze: ok, score 0.78, 114.9s, tok 772/21267, retries 0
2026-07-27T17:04:36.134+00:00 [gemma-4-26b-a4b] web-003-sand: ok, score 0.80, 56.4s, tok 725/10511, retries 0
2026-07-27T17:05:34.611+00:00 [gemma-4-26b-a4b] web-004-kanban: ok, score 0.78, 25.4s, tok 413/4662, retries 0
2026-07-27T17:06:49.881+00:00 [gemma-4-26b-a4b] web-005-expense: ok, score 1.00, 71.1s, tok 525/4440, retries 0
2026-07-27T17:08:59.138+00:00 [gemma-4-26b-a4b] web-006-spreadsheet: ok, score 0.00, 69.1s, tok 562/12898, retries 0
2026-07-27T17:09:50.852+00:00 [gemma-4-26b-a4b] web-007-life: ok, score 0.12, 50.6s, tok 593/9397, retries 0
2026-07-27T17:10:33.871+00:00 [gemma-4-26b-a4b] web-008-snake: ok, score 1.00, 41.9s, tok 553/7912, retries 0
2026-07-27T17:11:04.892+00:00 [gemma-4-26b-a4b] web-009-physics: ok, score 0.62, 29.9s, tok 484/5566, retries 0
2026-07-27T17:11:51.345+00:00 [gemma-4-26b-a4b] web-010-2048: ok, score 1.00, 45.3s, tok 546/8528, retries 0
2026-07-27T17:12:40.696+00:00 [gemma-4-26b-a4b] web-011-sort: ok, score 1.00, 48.2s, tok 434/9134, retries 0
2026-07-27T17:13:36.155+00:00 [gemma-4-26b-a4b] web-012-coin: ok, score 0.00, 53.9s, tok 924/10141, retries 0
2026-07-27T17:14:56.464+00:00 [gemma-4-26b-a4b] web-013-billiards: ok, score 0.00, 79.1s, tok 797/14829, retries 0
2026-07-27T17:14:56.464+00:00 [gemma-4-26b-a4b] done
2026-07-27T17:14:56.469+00:00 [gemma-4-26b-a4b] gpu: peak 26,201 MB VRAM · avg 296 W · 215.91 Wh
2026-07-27T17:14:58.741+00:00 [gemma-4-26b-a4b] lms: unloaded (VRAM freed)
