2026-07-28T18:36:29.909+00:00 [claude-cli-haiku-4-5] start (claude-cli)
2026-07-28T18:37:11.352+00:00 [claude-cli-haiku-4-5] ag-001-fix-bugs: ok, score 1.00, 41.0s, tok 366670/3588, retries 0
2026-07-28T18:55:53.957+00:00 [claude-cli-haiku-4-5] ctx-003-recall-32k: ok, score 1.00, 8.9s, tok 59760/618, retries 0
2026-07-28T18:56:09.022+00:00 [claude-cli-haiku-4-5] ctx-004-recall-64k: ok, score 1.00, 15.1s, tok 101243/1118, retries 0
2026-07-28T18:56:18.153+00:00 [claude-cli-haiku-4-5] ctx-005-aggregate-16k: ok, score 1.00, 9.1s, tok 38879/738, retries 0
2026-07-28T18:56:31.974+00:00 [claude-cli-haiku-4-5] ctx-006-superseded-16k: ok, score 1.00, 13.8s, tok 39158/1297, retries 0
2026-07-28T18:56:52.717+00:00 [claude-cli-haiku-4-5] ctx-007-tally-16k: ok, score 1.00, 20.7s, tok 39404/2437, retries 0
2026-07-28T18:57:04.848+00:00 [claude-cli-haiku-4-5] ctx-008-recall-128k: ok, score 1.00, 12.1s, tok 183999/730, retries 0
2026-07-28T18:57:11.835+00:00 [claude-cli-haiku-4-5] ctx-009-multihop-32k: ok, score 1.00, 7.0s, tok 60141/462, retries 0
2026-07-28T18:57:32.459+00:00 [claude-cli-haiku-4-5] ctx-010-decoy-recall-32k: ok, score 1.00, 20.6s, tok 59565/2200, retries 0
2026-07-28T18:57:38.411+00:00 [claude-cli-haiku-4-5] ctx-011-multihop-deep-32k: ok, score 1.00, 5.9s, tok 37019/445, retries 0
2026-07-28T18:58:37.058+00:00 [claude-cli-haiku-4-5] ctx-012-aggregate-reversals-32k: ok, score 0.00, 58.6s, tok 46018/7733, retries 0
2026-07-28T19:06:16.603+00:00 [claude-cli-haiku-4-5] ctx-013-ledger-supersede-64k: ok, score 0.40, 459.3s, tok 96297/53569, retries 0
2026-07-28T19:06:21.239+00:00 [claude-cli-haiku-4-5] math-001-multistep: ok, score 1.00, 4.6s, tok 18026/550, retries 0
2026-07-28T19:06:27.907+00:00 [claude-cli-haiku-4-5] math-002-rate-mix: ok, score 1.00, 6.7s, tok 18041/622, retries 0
2026-07-28T19:09:19.328+00:00 [claude-cli-haiku-4-5] web-001-desktop: ok, score 0.70, 106.0s, tok 18533/13274, retries 0
2026-07-28T19:11:31.670+00:00 [claude-cli-haiku-4-5] web-002-maze: ok, score 0.67, 129.2s, tok 18668/15441, retries 0
2026-07-28T19:14:57.313+00:00 [claude-cli-haiku-4-5] web-003-sand: ok, score 0.90, 204.4s, tok 18616/23326, retries 0
2026-07-28T19:15:54.921+00:00 [claude-cli-haiku-4-5] web-004-kanban: ok, score 0.89, 53.8s, tok 18292/6925, retries 0
2026-07-28T19:17:18.174+00:00 [claude-cli-haiku-4-5] web-005-expense: ok, score 1.00, 79.0s, tok 18413/9761, retries 0
2026-07-28T19:20:52.814+00:00 [claude-cli-haiku-4-5] web-006-spreadsheet: ok, score 1.00, 211.7s, tok 18442/24705, retries 0
2026-07-28T19:22:00.103+00:00 [claude-cli-haiku-4-5] web-007-life: ok, score 1.00, 66.1s, tok 18477/8025, retries 0
2026-07-28T19:23:01.470+00:00 [claude-cli-haiku-4-5] web-008-snake: ok, score 1.00, 60.2s, tok 18432/7306, retries 0
2026-07-28T19:23:59.317+00:00 [claude-cli-haiku-4-5] web-009-physics: ok, score 1.00, 56.7s, tok 18389/6551, retries 0
2026-07-28T19:26:09.692+00:00 [claude-cli-haiku-4-5] web-010-2048: ok, score 1.00, 129.2s, tok 18535/15200, retries 0
2026-07-28T19:27:49.336+00:00 [claude-cli-haiku-4-5] web-011-sort: ok, score 1.00, 98.5s, tok 18322/12104, retries 0
2026-07-28T19:29:57.790+00:00 [claude-cli-haiku-4-5] web-012-coin: ok, score 0.68, 124.1s, tok 18840/14576, retries 0
2026-07-28T19:33:05.330+00:00 [claude-cli-haiku-4-5] web-013-billiards: ok, score 0.30, 186.0s, tok 18715/21531, retries 0
2026-07-28T19:34:57.934+00:00 [claude-cli-haiku-4-5] rs-006-string-pipeline: ok, score 1.00, 112.6s, tok 18110/12817, retries 0
2026-07-28T19:35:52.280+00:00 [claude-cli-haiku-4-5] rs-008-river-boat: ok, score 1.00, 54.3s, tok 18096/5646, retries 0
2026-07-28T19:36:38.721+00:00 [claude-cli-haiku-4-5] rs-009-birthday-twist: ok, score 1.00, 46.4s, tok 18046/5443, retries 0
2026-07-28T19:39:14.242+00:00 [claude-cli-haiku-4-5] rs-010-ants-rod: ok, score 1.00, 155.5s, tok 18085/17294, retries 0
2026-07-28T19:39:25.134+00:00 [claude-cli-haiku-4-5] rs-011-gear-axle-train: ok, score 1.00, 10.9s, tok 18241/1220, retries 0
2026-07-28T19:39:43.203+00:00 [claude-cli-haiku-4-5] rs-012-permutation-track: ok, score 1.00, 18.1s, tok 18363/2216, retries 0
2026-07-28T19:40:29.228+00:00 [claude-cli-haiku-4-5] rs-013-statemachine-trace: ok, score 1.00, 45.7s, tok 18648/6176, retries 0
2026-07-28T19:40:33.263+00:00 [claude-cli-haiku-4-5] tool-001-select-call: ok, score 1.00, 3.7s, tok 18219/205, retries 0
2026-07-28T19:40:37.462+00:00 [claude-cli-haiku-4-5] tool-002-select-hard: ok, score 1.00, 3.9s, tok 18129/177, retries 0
2026-07-28T19:40:37.462+00:00 [claude-cli-haiku-4-5] done
2026-07-28T19:40:37.462+00:00 [claude-cli-opus-4-8] start (claude-cli)
2026-07-28T19:41:09.113+00:00 [claude-cli-opus-4-8] ag-001-fix-bugs: ok, score 1.00, 31.3s, tok 260431/2127, retries 0
2026-07-28T19:41:47.645+00:00 [claude-cli-opus-4-8] ag-002-build-cli: ok, score 1.00, 38.1s, tok 297398/2435, retries 0
2026-07-28T19:42:26.916+00:00 [claude-cli-opus-4-8] ag-003-fix-package: ok, score 1.00, 39.0s, tok 223014/2091, retries 0
2026-07-28T19:42:53.299+00:00 [claude-cli-opus-4-8] ag-004-data-pipeline: ok, score 1.00, 26.1s, tok 184273/1734, retries 0
2026-07-28T19:43:14.918+00:00 [claude-cli-opus-4-8] ag-005-codebase-recon: ok, score 1.00, 21.3s, tok 181218/972, retries 0
2026-07-28T19:43:46.910+00:00 [claude-cli-opus-4-8] ag-006-perf-optimize: ok, score 1.00, 31.0s, tok 184388/2096, retries 0
2026-07-28T19:44:30.445+00:00 [claude-cli-opus-4-8] ag-007-regression-hunt: ok, score 1.00, 43.2s, tok 420247/2173, retries 0
2026-07-28T19:44:48.919+00:00 [claude-cli-opus-4-8] ag-008-collections-fix: ok, score 1.00, 18.2s, tok 149117/1143, retries 0
2026-07-28T19:44:58.881+00:00 [claude-cli-opus-4-8] py-003-date-parser: ok, score 0.89, 9.7s, tok 17970/798, retries 0
2026-07-28T19:45:16.183+00:00 [claude-cli-opus-4-8] py-004-expr-eval: ok, score 1.00, 17.0s, tok 18197/1524, retries 0
2026-07-28T19:45:30.569+00:00 [claude-cli-opus-4-8] py-005-csv-parser: ok, score 0.90, 14.1s, tok 18185/1054, retries 0
2026-07-28T19:45:36.221+00:00 [claude-cli-opus-4-8] py-006-toposort: ok, score 1.00, 5.4s, tok 17959/349, retries 0
2026-07-28T19:45:56.154+00:00 [claude-cli-opus-4-8] py-007-regex-engine: ok, score 1.00, 19.6s, tok 17953/1683, retries 0
2026-07-28T19:46:13.160+00:00 [claude-cli-opus-4-8] py-008-json-parser: ok, score 1.00, 16.7s, tok 18089/1681, retries 0
2026-07-28T19:46:16.661+00:00 [claude-cli-opus-4-8] ext-001-fields-json: ok, score 1.00, 3.2s, tok 17951/54, retries 0
2026-07-28T19:46:22.594+00:00 [claude-cli-opus-4-8] ext-002-nested-normalize: ok, score 1.00, 5.7s, tok 18196/308, retries 0
2026-07-28T19:46:26.146+00:00 [claude-cli-opus-4-8] hl-001-grounded-qa: ok, score 1.00, 3.3s, tok 17851/33, retries 0
2026-07-28T19:46:30.817+00:00 [claude-cli-opus-4-8] hl-002-abstain-hard: ok, score 1.00, 4.4s, tok 18123/172, retries 0
2026-07-28T19:46:34.210+00:00 [claude-cli-opus-4-8] if-001-format-exact: ok, score 1.00, 3.1s, tok 17793/43, retries 0
2026-07-28T19:46:44.262+00:00 [claude-cli-opus-4-8] if-002-constraint-stack: ok, score 1.00, 9.8s, tok 17801/625, retries 0
2026-07-28T19:46:51.429+00:00 [claude-cli-opus-4-8] ctx-003-recall-32k: ok, score 1.00, 7.2s, tok 74256/82, retries 0
2026-07-28T19:46:57.610+00:00 [claude-cli-opus-4-8] ctx-004-recall-64k: ok, score 1.00, 6.2s, tok 130459/114, retries 0
2026-07-28T19:47:02.854+00:00 [claude-cli-opus-4-8] ctx-005-aggregate-16k: ok, score 1.00, 5.2s, tok 46173/244, retries 0
2026-07-28T19:47:08.137+00:00 [claude-cli-opus-4-8] ctx-006-superseded-16k: ok, score 1.00, 5.3s, tok 46480/258, retries 0
2026-07-28T19:47:15.568+00:00 [claude-cli-opus-4-8] ctx-007-tally-16k: ok, score 1.00, 7.4s, tok 46682/453, retries 0
2026-07-28T19:47:20.820+00:00 [claude-cli-opus-4-8] ctx-008-recall-128k: ok, score 1.00, 5.2s, tok 242350/45, retries 0
2026-07-28T19:47:25.172+00:00 [claude-cli-opus-4-8] ctx-009-multihop-32k: ok, score 1.00, 4.3s, tok 74822/106, retries 0
2026-07-28T19:47:36.352+00:00 [claude-cli-opus-4-8] ctx-010-decoy-recall-32k: ok, score 1.00, 11.2s, tok 72462/639, retries 0
2026-07-28T19:47:43.318+00:00 [claude-cli-opus-4-8] ctx-011-multihop-deep-32k: ok, score 1.00, 7.0s, tok 45382/221, retries 0
2026-07-28T19:48:05.169+00:00 [claude-cli-opus-4-8] ctx-012-aggregate-reversals-32k: ok, score 1.00, 21.8s, tok 51382/2263, retries 0
2026-07-28T19:57:22.663+00:00 [claude-cli-opus-4-8] ctx-013-ledger-supersede-64k: ok, score 1.00, 557.2s, tok 61257/38298, retries 1
2026-07-28T19:57:27.288+00:00 [claude-cli-opus-4-8] math-001-multistep: ok, score 1.00, 4.6s, tok 17785/157, retries 0
2026-07-28T19:57:31.561+00:00 [claude-cli-opus-4-8] math-002-rate-mix: ok, score 1.00, 4.3s, tok 17793/179, retries 0
2026-07-28T19:59:18.894+00:00 [claude-cli-opus-4-8] web-001-desktop: ok, score 1.00, 102.8s, tok 18638/10644, retries 0
2026-07-28T20:02:57.694+00:00 [claude-cli-opus-4-8] web-002-maze: ok, score 0.89, 215.4s, tok 18642/17047, retries 0
2026-07-28T20:05:37.810+00:00 [claude-cli-opus-4-8] web-003-sand: ok, score 0.90, 158.9s, tok 18591/12161, retries 0
2026-07-28T20:06:15.939+00:00 [claude-cli-opus-4-8] web-004-kanban: ok, score 1.00, 34.4s, tok 18124/3515, retries 0
2026-07-28T20:07:06.386+00:00 [claude-cli-opus-4-8] web-005-expense: ok, score 1.00, 46.1s, tok 18438/4831, retries 0
2026-07-28T20:09:37.805+00:00 [claude-cli-opus-4-8] web-006-spreadsheet: ok, score 1.00, 148.4s, tok 18482/12018, retries 0
2026-07-28T20:10:22.822+00:00 [claude-cli-opus-4-8] web-007-life: ok, score 1.00, 43.8s, tok 18388/4231, retries 0
2026-07-28T20:11:15.556+00:00 [claude-cli-opus-4-8] web-008-snake: ok, score 1.00, 51.6s, tok 18300/5307, retries 0
2026-07-28T20:11:44.087+00:00 [claude-cli-opus-4-8] web-009-physics: ok, score 1.00, 27.3s, tok 18271/2736, retries 0
2026-07-28T20:12:17.160+00:00 [claude-cli-opus-4-8] web-010-2048: ok, score 1.00, 31.9s, tok 18279/3169, retries 0
2026-07-28T20:12:42.408+00:00 [claude-cli-opus-4-8] web-011-sort: ok, score 0.83, 24.1s, tok 18186/2376, retries 0
2026-07-28T20:24:37.574+00:00 [claude-cli-opus-4-8] web-012-coin: ok, score 0.74, 710.3s, tok 18901/49474, retries 0
2026-07-28T20:26:26.021+00:00 [claude-cli-opus-4-8] web-013-billiards: ok, score 0.50, 106.0s, tok 18831/9195, retries 0
2026-07-28T20:26:33.405+00:00 [claude-cli-opus-4-8] rs-006-string-pipeline: ok, score 1.00, 7.4s, tok 17878/493, retries 0
2026-07-28T20:26:49.266+00:00 [claude-cli-opus-4-8] rs-008-river-boat: ok, score 1.00, 15.9s, tok 17885/1047, retries 0
2026-07-28T20:26:57.742+00:00 [claude-cli-opus-4-8] rs-009-birthday-twist: ok, score 1.00, 8.5s, tok 17965/541, retries 0
2026-07-28T20:27:10.390+00:00 [claude-cli-opus-4-8] rs-010-ants-rod: ok, score 0.00, 12.6s, tok 17860/734, retries 0
2026-07-28T20:27:18.578+00:00 [claude-cli-opus-4-8] rs-011-gear-axle-train: ok, score 1.00, 8.2s, tok 18218/554, retries 0
2026-07-28T20:27:30.494+00:00 [claude-cli-opus-4-8] rs-012-permutation-track: ok, score 1.00, 11.9s, tok 18065/1006, retries 0
2026-07-28T20:27:53.211+00:00 [claude-cli-opus-4-8] rs-013-statemachine-trace: ok, score 1.00, 22.4s, tok 18550/2166, retries 0
2026-07-28T20:27:56.348+00:00 [claude-cli-opus-4-8] tool-001-select-call: ok, score 1.00, 2.8s, tok 18045/43, retries 0
2026-07-28T20:28:00.983+00:00 [claude-cli-opus-4-8] tool-002-select-hard: ok, score 1.00, 3.9s, tok 18068/32, retries 0
2026-07-28T20:28:00.984+00:00 [claude-cli-opus-4-8] done
2026-07-28T20:28:00.985+00:00 [deepseek-v4-pro] start (openai)
2026-07-28T20:28:33.205+00:00 [deepseek-v4-pro] ag-001-fix-bugs: ok, score 1.00, 31.7s, tok 9486/1366, retries 0
2026-07-28T20:29:11.713+00:00 [deepseek-v4-pro] ag-002-build-cli: ok, score 1.00, 38.0s, tok 9389/1542, retries 0
2026-07-28T20:30:09.519+00:00 [deepseek-v4-pro] ag-003-fix-package: ok, score 1.00, 57.5s, tok 13421/2819, retries 0
2026-07-28T20:31:05.499+00:00 [deepseek-v4-pro] ag-004-data-pipeline: ok, score 1.00, 55.7s, tok 8558/2477, retries 0
2026-07-28T20:31:29.906+00:00 [deepseek-v4-pro] ag-005-codebase-recon: ok, score 1.00, 24.1s, tok 9936/765, retries 0
2026-07-28T20:32:32.492+00:00 [deepseek-v4-pro] ag-006-perf-optimize: ok, score 1.00, 61.5s, tok 17476/2947, retries 0
2026-07-28T20:33:33.104+00:00 [deepseek-v4-pro] ag-007-regression-hunt: ok, score 1.00, 60.3s, tok 34741/2563, retries 0
2026-07-28T20:34:24.408+00:00 [deepseek-v4-pro] ag-008-collections-fix: ok, score 1.00, 51.0s, tok 21964/1946, retries 0
2026-07-28T20:36:18.191+00:00 [deepseek-v4-pro] py-003-date-parser: ok, score 1.00, 113.5s, tok 288/5479, retries 0
2026-07-28T20:39:59.988+00:00 [deepseek-v4-pro] py-004-expr-eval: ok, score 1.00, 221.5s, tok 303/15841, retries 0
2026-07-28T20:46:55.430+00:00 [deepseek-v4-pro] py-005-csv-parser: ok, score 1.00, 415.2s, tok 318/18429, retries 0
2026-07-28T20:47:21.466+00:00 [deepseek-v4-pro] py-006-toposort: ok, score 1.00, 25.7s, tok 267/1364, retries 0
2026-07-28T20:49:34.470+00:00 [deepseek-v4-pro] py-007-regex-engine: ok, score 1.00, 132.7s, tok 267/10429, retries 0
2026-07-28T20:51:46.297+00:00 [deepseek-v4-pro] py-008-json-parser: ok, score 1.00, 131.5s, tok 349/12641, retries 0
2026-07-28T20:51:52.251+00:00 [deepseek-v4-pro] ext-001-fields-json: ok, score 1.00, 5.7s, tok 152/43, retries 0
2026-07-28T20:52:00.274+00:00 [deepseek-v4-pro] ext-002-nested-normalize: ok, score 1.00, 7.7s, tok 317/763, retries 0
2026-07-28T20:52:03.927+00:00 [deepseek-v4-pro] hl-001-grounded-qa: ok, score 1.00, 3.4s, tok 194/211, retries 0
2026-07-28T20:52:11.094+00:00 [deepseek-v4-pro] hl-002-abstain-hard: ok, score 1.00, 6.9s, tok 260/439, retries 0
2026-07-28T20:52:22.851+00:00 [deepseek-v4-pro] if-001-format-exact: ok, score 1.00, 11.5s, tok 143/618, retries 0
2026-07-28T20:52:46.463+00:00 [deepseek-v4-pro] if-002-constraint-stack: ok, score 1.00, 23.3s, tok 151/1698, retries 0
2026-07-28T20:52:54.511+00:00 [deepseek-v4-pro] ctx-003-recall-32k: ok, score 1.00, 8.0s, tok 37499/505, retries 0
2026-07-28T20:53:07.578+00:00 [deepseek-v4-pro] ctx-004-recall-64k: ok, score 1.00, 13.1s, tok 74621/713, retries 0
2026-07-28T20:53:15.951+00:00 [deepseek-v4-pro] ctx-005-aggregate-16k: ok, score 1.00, 8.4s, tok 18809/613, retries 0
2026-07-28T20:54:10.261+00:00 [deepseek-v4-pro] ctx-006-superseded-16k: ok, score 1.00, 54.3s, tok 19082/2715, retries 0
2026-07-28T20:54:34.556+00:00 [deepseek-v4-pro] ctx-007-tally-16k: ok, score 1.00, 24.3s, tok 19250/2217, retries 0
2026-07-28T20:54:45.753+00:00 [deepseek-v4-pro] ctx-008-recall-128k: ok, score 1.00, 11.2s, tok 148683/449, retries 0
2026-07-28T20:54:53.610+00:00 [deepseek-v4-pro] ctx-009-multihop-32k: ok, score 1.00, 7.9s, tok 37875/271, retries 0
2026-07-28T20:55:11.681+00:00 [deepseek-v4-pro] ctx-010-decoy-recall-32k: ok, score 1.00, 18.1s, tok 36059/874, retries 0
2026-07-28T20:55:20.723+00:00 [deepseek-v4-pro] ctx-011-multihop-deep-32k: ok, score 1.00, 9.0s, tok 16824/417, retries 0
2026-07-28T20:55:48.282+00:00 [deepseek-v4-pro] ctx-012-aggregate-reversals-32k: ok, score 1.00, 27.6s, tok 24870/3179, retries 0
2026-07-28T21:22:17.719+00:00 [deepseek-v4-pro] ctx-013-ledger-supersede-64k: ok, score 1.00, 1589.2s, tok 26536/56017, retries 1
2026-07-28T21:22:30.467+00:00 [deepseek-v4-pro] math-001-multistep: ok, score 1.00, 12.7s, tok 146/585, retries 0
2026-07-28T21:22:40.094+00:00 [deepseek-v4-pro] math-002-rate-mix: ok, score 1.00, 9.6s, tok 239/444, retries 0
2026-07-28T21:26:03.179+00:00 [deepseek-v4-pro] web-001-desktop: ok, score 0.70, 168.8s, tok 621/5757, retries 0
2026-07-28T21:40:48.176+00:00 [deepseek-v4-pro] web-002-maze: ok, score 0.89, 881.7s, tok 733/6655, retries 0
2026-07-28T21:46:41.673+00:00 [deepseek-v4-pro] web-003-sand: ok, score 0.80, 352.2s, tok 691/26166, retries 0
2026-07-28T21:51:21.312+00:00 [deepseek-v4-pro] web-004-kanban: ok, score 1.00, 275.9s, tok 474/14232, retries 0
2026-07-28T21:53:45.160+00:00 [deepseek-v4-pro] web-005-expense: ok, score 1.00, 139.5s, tok 502/11281, retries 0
2026-07-28T21:58:37.512+00:00 [deepseek-v4-pro] web-006-spreadsheet: ok, score 1.00, 289.4s, tok 522/19008, retries 0
2026-07-28T22:04:19.212+00:00 [deepseek-v4-pro] web-007-life: ok, score 0.00, 340.5s, tok 559/15230, retries 0
2026-07-28T22:06:17.974+00:00 [deepseek-v4-pro] web-008-snake: ok, score 1.00, 117.6s, tok 515/5771, retries 0
2026-07-28T22:08:34.216+00:00 [deepseek-v4-pro] web-009-physics: ok, score 0.88, 135.1s, tok 466/14989, retries 0
2026-07-28T22:12:56.058+00:00 [deepseek-v4-pro] web-010-2048: ok, score 1.00, 260.7s, tok 515/12042, retries 0
2026-07-28T22:16:41.292+00:00 [deepseek-v4-pro] web-011-sort: ok, score 1.00, 224.1s, tok 415/13630, retries 0
2026-07-28T22:20:42.588+00:00 [deepseek-v4-pro] web-012-coin: ok, score 0.68, 236.5s, tok 891/20792, retries 0
2026-07-28T22:25:36.553+00:00 [deepseek-v4-pro] web-013-billiards: ok, score 0.00, 292.7s, tok 762/25132, retries 0
2026-07-28T22:25:56.445+00:00 [deepseek-v4-pro] rs-006-string-pipeline: ok, score 1.00, 19.9s, tok 220/674, retries 0
2026-07-28T22:27:17.983+00:00 [deepseek-v4-pro] rs-008-river-boat: ok, score 1.00, 81.5s, tok 209/503, retries 0
2026-07-28T22:27:36.901+00:00 [deepseek-v4-pro] rs-009-birthday-twist: ok, score 1.00, 18.9s, tok 163/923, retries 0
2026-07-28T22:39:19.640+00:00 [deepseek-v4-pro] rs-010-ants-rod: ok, score 1.00, 702.8s, tok 374/36270, retries 1
2026-07-28T22:39:41.969+00:00 [deepseek-v4-pro] rs-011-gear-axle-train: ok, score 1.00, 22.3s, tok 323/1314, retries 0
2026-07-28T22:40:10.285+00:00 [deepseek-v4-pro] rs-012-permutation-track: ok, score 1.00, 28.3s, tok 337/2099, retries 0
2026-07-28T22:41:28.900+00:00 [deepseek-v4-pro] rs-013-statemachine-trace: ok, score 1.00, 78.3s, tok 695/4334, retries 0
2026-07-28T22:41:33.421+00:00 [deepseek-v4-pro] tool-001-select-call: ok, score 1.00, 4.2s, tok 224/125, retries 0
2026-07-28T22:41:38.504+00:00 [deepseek-v4-pro] tool-002-select-hard: ok, score 1.00, 4.8s, tok 238/135, retries 0
2026-07-28T22:41:38.504+00:00 [deepseek-v4-pro] done
2026-07-28T22:41:38.504+00:00 [gemini-3.6-flash] start (openai)
2026-07-28T22:42:39.564+00:00 [gemini-3.6-flash] ag-001-fix-bugs: ok, score 1.00, 60.6s, tok 19270/11821, retries 0
2026-07-28T22:43:17.418+00:00 [gemini-3.6-flash] ag-002-build-cli: ok, score 1.00, 37.4s, tok 15070/5414, retries 0
2026-07-28T22:44:24.881+00:00 [gemini-3.6-flash] ag-003-fix-package: max_turns, score 0.00, 67.1s, tok 18741/11133, retries 0
2026-07-28T22:44:51.662+00:00 [gemini-3.6-flash] ag-004-data-pipeline: ok, score 1.00, 26.5s, tok 7852/5498, retries 0
2026-07-28T22:45:13.160+00:00 [gemini-3.6-flash] ag-005-codebase-recon: ok, score 1.00, 21.2s, tok 34018/1334, retries 0
2026-07-28T22:46:01.182+00:00 [gemini-3.6-flash] ag-006-perf-optimize: ok, score 1.00, 47.0s, tok 25211/8201, retries 0
2026-07-28T22:46:21.921+00:00 [gemini-3.6-flash] ag-007-regression-hunt: max_turns, score 0.00, 20.4s, tok 27060/1008, retries 0
2026-07-28T22:46:53.428+00:00 [gemini-3.6-flash] ag-008-collections-fix: max_turns, score 0.00, 31.2s, tok 14282/2495, retries 0
2026-07-28T22:47:24.728+00:00 [gemini-3.6-flash] py-003-date-parser: ok, score 1.00, 31.0s, tok 309/6973, retries 0
2026-07-28T22:48:20.628+00:00 [gemini-3.6-flash] py-004-expr-eval: ok, score 1.00, 55.6s, tok 314/13653, retries 0
2026-07-28T22:49:55.781+00:00 [gemini-3.6-flash] py-005-csv-parser: ok, score 1.00, 94.9s, tok 326/20413, retries 0
2026-07-28T22:50:09.399+00:00 [gemini-3.6-flash] py-006-toposort: ok, score 1.00, 13.3s, tok 275/2761, retries 0
2026-07-28T22:51:15.612+00:00 [gemini-3.6-flash] py-007-regex-engine: ok, score 1.00, 65.9s, tok 267/16409, retries 0
2026-07-28T22:52:17.832+00:00 [gemini-3.6-flash] py-008-json-parser: ok, score 1.00, 61.9s, tok 354/14945, retries 0
2026-07-28T22:52:21.191+00:00 [gemini-3.6-flash] ext-001-fields-json: ok, score 1.00, 3.1s, tok 162/579, retries 0
2026-07-28T22:52:28.798+00:00 [gemini-3.6-flash] ext-002-nested-normalize: ok, score 1.00, 7.3s, tok 351/1679, retries 0
2026-07-28T22:52:31.460+00:00 [gemini-3.6-flash] hl-001-grounded-qa: ok, score 1.00, 2.4s, tok 209/443, retries 0
2026-07-28T22:52:35.009+00:00 [gemini-3.6-flash] hl-002-abstain-hard: ok, score 1.00, 3.3s, tok 275/643, retries 0
2026-07-28T22:52:42.702+00:00 [gemini-3.6-flash] if-001-format-exact: ok, score 1.00, 7.4s, tok 148/1554, retries 0
2026-07-28T22:52:53.790+00:00 [gemini-3.6-flash] if-002-constraint-stack: ok, score 1.00, 10.8s, tok 154/2128, retries 0
2026-07-28T22:52:58.014+00:00 [gemini-3.6-flash] ctx-003-recall-32k: ok, score 1.00, 4.2s, tok 46976/1125, retries 0
2026-07-28T22:53:02.451+00:00 [gemini-3.6-flash] ctx-004-recall-64k: ok, score 1.00, 4.4s, tok 93425/745, retries 0
2026-07-28T22:53:07.533+00:00 [gemini-3.6-flash] ctx-005-aggregate-16k: ok, score 1.00, 5.1s, tok 23532/1029, retries 0
2026-07-28T22:53:21.657+00:00 [gemini-3.6-flash] ctx-006-superseded-16k: ok, score 1.00, 14.1s, tok 23806/3399, retries 0
2026-07-28T22:53:29.859+00:00 [gemini-3.6-flash] ctx-007-tally-16k: ok, score 1.00, 8.2s, tok 24098/1799, retries 0
