2026-09-05T04:43:00.131+00:00 estimated billable spend: $2.76 (no ceiling set; put max_spend_usd in settings.local.json)
2026-09-05T04:43:00.132+00:00 openrouter: $45.53 available
2026-09-05T04:43:00.132+00:00 [gemini-3.8-flash] start (openai)
2026-09-05T04:44:00.455+00:00 [gemini-3.8-flash] ag-001-fix-bugs: ok, score 1.00, 59.8s, tok 17985/6718, retries 0, predicted $0.0156 (projected), actual $0.0387
2026-09-05T04:59:59.605+00:00 [gemini-3.8-flash] if-001-format-exact: ok, score 1.00, 7.7s, tok 146/1145, retries 0, predicted $0.0042 (projected), actual $0.0044
2026-09-05T05:00:10.135+00:00 [gemini-3.8-flash] if-002-constraint-stack: ok, score 1.00, 10.3s, tok 152/1722, retries 0, predicted $0.0127 (projected), actual $0.0066
2026-09-05T05:00:14.810+00:00 [gemini-3.8-flash] ctx-003-recall-32k: ok, score 1.00, 4.7s, tok 46976/505, retries 0, predicted $0.0484 (projected), actual $0.0371
2026-09-05T05:00:21.051+00:00 [gemini-3.8-flash] ctx-004-recall-64k: ok, score 1.00, 6.2s, tok 93423/538, retries 0, predicted $0.0788 (projected), actual $0.0721
2026-09-05T05:00:26.131+00:00 [gemini-3.8-flash] ctx-005-aggregate-16k: ok, score 1.00, 5.1s, tok 23532/678, retries 0, predicted $0.0280 (projected), actual $0.0202
2026-09-05T05:00:34.626+00:00 [gemini-3.8-flash] ctx-006-superseded-16k: ok, score 1.00, 8.5s, tok 23806/1419, retries 0, predicted $0.0380 (projected), actual $0.0232
2026-09-05T05:00:43.922+00:00 [gemini-3.8-flash] ctx-007-tally-16k: ok, score 1.00, 9.3s, tok 24098/1496, retries 0, predicted $0.0563 (projected), actual $0.0237
2026-09-05T05:00:51.350+00:00 [gemini-3.8-flash] ctx-008-recall-128k: ok, score 1.00, 7.4s, tok 186180/521, retries 0, predicted $0.1551 (projected), actual $0.1416
2026-09-05T05:00:56.053+00:00 [gemini-3.8-flash] ctx-009-multihop-32k: ok, score 1.00, 4.7s, tok 47442/262, retries 0, predicted $0.0400 (projected), actual $0.0366
2026-09-05T05:01:05.091+00:00 [gemini-3.8-flash] ctx-010-decoy-recall-32k: ok, score 1.00, 9.0s, tok 41699/1384, retries 0, predicted $0.0521 (projected), actual $0.0365
2026-09-05T05:01:09.144+00:00 [gemini-3.8-flash] ctx-011-multihop-deep-32k: ok, score 1.00, 4.0s, tok 20392/485, retries 0, predicted $0.0222 (projected), actual $0.0171
2026-09-05T05:01:51.669+00:00 [gemini-3.8-flash] ctx-012-aggregate-reversals-32k: ok, score 0.00, 42.5s, tok 30962/10325, retries 0, predicted $0.0844 (projected), actual $0.0619
2026-09-05T05:03:46.124+00:00 [gemini-3.8-flash] ctx-013-ledger-supersede-64k: ok, score 0.80, 114.2s, tok 30003/26842, retries 0, predicted $0.1496 (projected), actual $0.1232
2026-09-05T05:08:13.373+00:00 [gemini-3.8-flash] ctx-014-cascade-ledger-128k: error, score 0.00, 267.2s, tok 71706/62916, retries 1, predicted $0.2458 (projected), actual $0.2779
2026-09-05T05:08:17.017+00:00 [gemini-3.8-flash] math-001-multistep: ok, score 1.00, 3.6s, tok 151/438, retries 0, predicted $0.0062 (projected), actual $0.0018
2026-09-05T05:08:21.192+00:00 [gemini-3.8-flash] math-002-rate-mix: ok, score 1.00, 4.2s, tok 164/718, retries 0, predicted $0.0039 (projected), actual $0.0028
2026-09-05T05:12:03.803+00:00 [gemini-3.8-flash] web-001-desktop: ok, score 0.90, 218.0s, tok 1250/42237, retries 1, predicted $0.0459 (projected), actual $0.1593
2026-09-05T05:12:40.101+00:00 [gemini-3.8-flash] web-002-maze: ok, score 1.00, 33.0s, tok 756/6628, retries 0, predicted $0.1073 (projected), actual $0.0254
2026-09-05T05:19:18.236+00:00 [gemini-3.8-flash] web-003-sand: error, score 0.00, 398.1s, tok 1418/65528, retries 1, predicted $0.0855 (projected), actual $0.2468
2026-09-05T05:20:11.474+00:00 [gemini-3.8-flash] web-004-kanban: ok, score 1.00, 49.5s, tok 397/8257, retries 0, predicted $0.0225 (projected), actual $0.0313
2026-09-05T05:20:52.979+00:00 [gemini-3.8-flash] web-005-expense: ok, score 1.00, 37.3s, tok 509/6612, retries 0, predicted $0.0334 (projected), actual $0.0252
2026-09-05T05:24:03.557+00:00 [gemini-3.8-flash] web-006-spreadsheet: ok, score 1.00, 187.5s, tok 546/31372, retries 0, predicted $0.0899 (projected), actual $0.1181
2026-09-05T05:24:30.806+00:00 [gemini-3.8-flash] web-007-life: ok, score 1.00, 26.1s, tok 577/5272, retries 0, predicted $0.0393 (projected), actual $0.0202
2026-09-05T05:25:45.303+00:00 [gemini-3.8-flash] web-008-snake: ok, score 1.00, 73.4s, tok 537/13846, retries 0, predicted $0.0367 (projected), actual $0.0523
2026-09-05T05:31:53.677+00:00 [gemini-3.8-flash] web-009-physics: ok, score 1.00, 367.2s, tok 936/61026, retries 1, predicted $0.0271 (projected), actual $0.2295
2026-09-05T05:34:19.590+00:00 [gemini-3.8-flash] web-010-2048: ok, score 1.00, 144.8s, tok 530/26975, retries 0, predicted $0.0412 (projected), actual $0.1016
2026-09-05T05:36:53.897+00:00 [gemini-3.8-flash] web-011-sort: ok, score 1.00, 153.2s, tok 418/29291, retries 0, predicted $0.0442 (projected), actual $0.1102
2026-09-05T05:41:56.947+00:00 [gemini-3.8-flash] web-012-coin: ok, score 0.74, 284.8s, tok 1812/53851, retries 1, predicted $0.0956 (projected), actual $0.2033
2026-09-05T05:48:37.693+00:00 [gemini-3.8-flash] web-013-billiards: error, score 0.00, 400.7s, tok 1562/65528, retries 1, predicted $0.0861 (projected), actual $0.2469
2026-09-05T05:48:46.713+00:00 [gemini-3.8-flash] rs-006-string-pipeline: ok, score 1.00, 8.9s, tok 227/1507, retries 0, predicted $0.0317 (projected), actual $0.0058
2026-09-05T05:48:54.293+00:00 [gemini-3.8-flash] rs-008-river-boat: ok, score 1.00, 7.5s, tok 213/1010, retries 0, predicted $0.0245 (projected), actual $0.0039
2026-09-05T05:49:02.376+00:00 [gemini-3.8-flash] rs-009-birthday-twist: ok, score 1.00, 8.0s, tok 166/1341, retries 0, predicted $0.0235 (projected), actual $0.0052
2026-09-05T05:49:27.754+00:00 [gemini-3.8-flash] rs-010-ants-rod: ok, score 1.00, 25.3s, tok 199/4023, retries 0, predicted $0.0461 (projected), actual $0.0152
2026-09-05T05:49:33.516+00:00 [gemini-3.8-flash] rs-011-gear-axle-train: ok, score 1.00, 5.7s, tok 339/791, retries 0, predicted $0.0173 (projected), actual $0.0032
2026-09-05T05:49:38.353+00:00 [gemini-3.8-flash] rs-012-permutation-track: ok, score 1.00, 4.7s, tok 354/711, retries 0, predicted $0.0263 (projected), actual $0.0029
2026-09-05T05:50:01.170+00:00 [gemini-3.8-flash] rs-013-statemachine-trace: ok, score 1.00, 20.4s, tok 722/4228, retries 0, predicted $0.0379 (projected), actual $0.0164
2026-09-05T05:50:17.387+00:00 [gemini-3.8-flash] rs-014-ledger-amend-chain: ok, score 1.00, 16.1s, tok 1665/3586, retries 0, predicted $0.0422 (projected), actual $0.0147
2026-09-05T05:52:55.529+00:00 [gemini-3.8-flash] rs-015-graph-rewrite-trace: ok, score 1.00, 157.1s, tok 4088/31518, retries 0, predicted $0.1336 (projected), actual $0.1213
2026-09-05T05:52:58.554+00:00 [gemini-3.8-flash] tool-001-select-call: ok, score 1.00, 2.1s, tok 232/190, retries 0, predicted $0.0011 (projected), actual $0.0009
2026-09-05T05:53:01.860+00:00 [gemini-3.8-flash] tool-002-select-hard: ok, score 1.00, 2.4s, tok 249/200, retries 0, predicted $0.0010 (projected), actual $0.0009
2026-09-05T05:53:01.860+00:00 [gemini-3.8-flash] done
2026-09-05T05:53:01.861+00:00 [mercury-2.5-preview] start (openai)
2026-09-05T05:53:07.772+00:00 [mercury-2.5-preview] ag-001-fix-bugs: ok, score 1.00, 4.4s, tok 8255/933, retries 0, predicted $0.0007 (projected), actual $0.0005
2026-09-05T05:53:13.440+00:00 [mercury-2.5-preview] ag-002-build-cli: ok, score 1.00, 4.1s, tok 6301/2001, retries 0, predicted $0.0010 (projected), actual $0.0005
2026-09-05T05:53:21.734+00:00 [mercury-2.5-preview] ag-003-fix-package: ok, score 1.00, 7.2s, tok 13654/1537, retries 0, predicted $0.0017 (projected), actual $0.0007
2026-09-05T05:53:28.316+00:00 [mercury-2.5-preview] ag-004-data-pipeline: ok, score 1.00, 5.6s, tok 10044/1356, retries 0, predicted $0.0007 (projected), actual $0.0006
2026-09-05T05:53:37.763+00:00 [mercury-2.5-preview] ag-005-codebase-recon: ok, score 1.00, 8.5s, tok 27858/1039, retries 0, predicted $0.0009 (projected), actual $0.0012
2026-09-05T05:53:48.040+00:00 [mercury-2.5-preview] ag-006-perf-optimize: ok, score 1.00, 9.2s, tok 25917/2133, retries 0, predicted $0.0013 (projected), actual $0.0012
2026-09-05T05:54:02.003+00:00 [mercury-2.5-preview] ag-007-regression-hunt: max_turns, score 0.00, 13.7s, tok 63449/2648, retries 0, predicted $0.0017 (projected), actual $0.0026
2026-09-05T05:54:11.602+00:00 [mercury-2.5-preview] ag-008-collections-fix: ok, score 1.00, 9.4s, tok 35355/2283, retries 0, predicted $0.0013 (projected), actual $0.0017
2026-09-05T05:54:15.684+00:00 [mercury-2.5-preview] py-003-date-parser: ok, score 1.00, 3.8s, tok 308/2573, retries 0, predicted $0.0010 (projected), actual $0.0004
2026-09-05T05:54:21.049+00:00 [mercury-2.5-preview] py-004-expr-eval: ok, score 0.88, 4.6s, tok 328/3458, retries 0, predicted $0.0025 (projected), actual $0.0005
2026-09-05T05:54:29.057+00:00 [mercury-2.5-preview] py-005-csv-parser: ok, score 0.00, 7.4s, tok 339/3061, retries 0, predicted $0.0026 (projected), actual $0.0005
2026-09-05T05:54:33.992+00:00 [mercury-2.5-preview] py-006-toposort: ok, score 1.00, 4.5s, tok 278/2082, retries 0, predicted $0.0005 (projected), actual $0.0003
2026-09-05T05:54:44.341+00:00 [mercury-2.5-preview] py-007-regex-engine: ok, score 0.57, 10.1s, tok 554/6356, retries 1, predicted $0.0022 (projected), actual $0.0010
2026-09-05T05:54:48.948+00:00 [mercury-2.5-preview] py-008-json-parser: ok, score 1.00, 4.3s, tok 367/3902, retries 0, predicted $0.0020 (projected), actual $0.0006
2026-09-05T05:54:50.451+00:00 [mercury-2.5-preview] ext-001-fields-json: ok, score 1.00, 1.2s, tok 177/677, retries 0, predicted $0.0001 (projected), actual $0.0001
2026-09-05T05:54:52.788+00:00 [mercury-2.5-preview] ext-002-nested-normalize: ok, score 1.00, 2.0s, tok 355/2178, retries 0, predicted $0.0002 (projected), actual $0.0003
2026-09-05T05:54:54.340+00:00 [mercury-2.5-preview] hl-001-grounded-qa: ok, score 1.00, 1.3s, tok 230/628, retries 0, predicted $0.0001 (projected), actual $0.0001
2026-09-05T05:54:55.737+00:00 [mercury-2.5-preview] hl-002-abstain-hard: ok, score 1.00, 1.1s, tok 295/839, retries 0, predicted $0.0001 (projected), actual $0.0001
2026-09-05T05:54:57.178+00:00 [mercury-2.5-preview] if-001-format-exact: ok, score 1.00, 1.2s, tok 168/783, retries 0, predicted $0.0002 (projected), actual $0.0001
2026-09-05T05:55:01.516+00:00 [mercury-2.5-preview] if-002-constraint-stack: ok, score 0.80, 4.1s, tok 174/2462, retries 0, predicted $0.0005 (projected), actual $0.0004
2026-09-05T05:55:04.590+00:00 [mercury-2.5-preview] ctx-003-recall-32k: ok, score 1.00, 3.1s, tok 46880/1780, retries 0, predicted $0.0024 (projected), actual $0.0021
2026-09-05T05:55:08.104+00:00 [mercury-2.5-preview] ctx-004-recall-64k: ok, score 1.00, 3.5s, tok 90476/1208, retries 0, predicted $0.0040 (projected), actual $0.0038
2026-09-05T05:55:10.029+00:00 [mercury-2.5-preview] ctx-005-aggregate-16k: ok, score 1.00, 1.9s, tok 23562/1500, retries 0, predicted $0.0013 (projected), actual $0.0012
2026-09-05T05:55:14.305+00:00 [mercury-2.5-preview] ctx-006-superseded-16k: ok, score 1.00, 4.3s, tok 23064/2115, retries 0, predicted $0.0018 (projected), actual $0.0012
2026-09-05T05:55:17.371+00:00 [mercury-2.5-preview] ctx-007-tally-16k: ok, score 1.00, 3.1s, tok 23342/2460, retries 0, predicted $0.0025 (projected), actual $0.0013
2026-09-05T05:55:24.097+00:00 [mercury-2.5-preview] ctx-008-recall-128k: ok, score 1.00, 6.7s, tok 187898/1350, retries 0, predicted $0.0080 (projected), actual $0.0077
2026-09-05T05:55:28.068+00:00 [mercury-2.5-preview] ctx-009-multihop-32k: ok, score 1.00, 4.0s, tok 47190/1204, retries 0, predicted $0.0021 (projected), actual $0.0021
2026-09-05T05:55:32.312+00:00 [mercury-2.5-preview] ctx-010-decoy-recall-32k: ok, score 1.00, 4.2s, tok 42460/1162, retries 0, predicted $0.0025 (projected), actual $0.0019
2026-09-05T05:55:35.608+00:00 [mercury-2.5-preview] ctx-011-multihop-deep-32k: ok, score 1.00, 3.3s, tok 19736/1134, retries 0, predicted $0.0011 (projected), actual $0.0010
2026-09-05T05:55:39.158+00:00 [mercury-2.5-preview] ctx-012-aggregate-reversals-32k: ok, score 0.00, 3.5s, tok 29657/3210, retries 0, predicted $0.0037 (projected), actual $0.0017
2026-09-05T05:55:44.505+00:00 [mercury-2.5-preview] ctx-013-ledger-supersede-64k: ok, score 0.00, 5.1s, tok 28537/2473, retries 0, predicted $0.0063 (projected), actual $0.0015
2026-09-05T05:55:48.112+00:00 [mercury-2.5-preview] ctx-014-cascade-ledger-128k: ok, score 0.00, 3.3s, tok 35106/2529, retries 0, predicted $0.0104 (projected), actual $0.0018
2026-09-05T05:55:49.940+00:00 [mercury-2.5-preview] math-001-multistep: ok, score 1.00, 1.8s, tok 174/1551, retries 0, predicted $0.0003 (projected), actual $0.0002
2026-09-05T05:55:51.792+00:00 [mercury-2.5-preview] math-002-rate-mix: ok, score 1.00, 1.8s, tok 187/1678, retries 0, predicted $0.0002 (projected), actual $0.0003
2026-09-05T05:56:48.643+00:00 [mercury-2.5-preview] web-001-desktop: ok, score 0.20, 9.1s, tok 631/5498, retries 0, predicted $0.0018 (projected), actual $0.0008
2026-09-05T05:57:25.175+00:00 [mercury-2.5-preview] web-002-maze: ok, score 0.56, 8.4s, tok 746/6372, retries 0, predicted $0.0043 (projected), actual $0.0010
2026-09-05T05:57:33.116+00:00 [mercury-2.5-preview] web-003-sand: ok, score 0.80, 5.7s, tok 705/4499, retries 0, predicted $0.0034 (projected), actual $0.0007
2026-09-05T05:57:44.658+00:00 [mercury-2.5-preview] web-004-kanban: ok, score 1.00, 7.1s, tok 414/4019, retries 0, predicted $0.0009 (projected), actual $0.0006
2026-09-05T05:57:54.619+00:00 [mercury-2.5-preview] web-005-expense: ok, score 1.00, 4.8s, tok 516/4130, retries 0, predicted $0.0013 (projected), actual $0.0006
2026-09-05T05:58:04.376+00:00 [mercury-2.5-preview] web-006-spreadsheet: ok, score 0.64, 6.4s, tok 556/4629, retries 0, predicted $0.0036 (projected), actual $0.0007
2026-09-05T05:58:11.642+00:00 [mercury-2.5-preview] web-007-life: ok, score 1.00, 5.5s, tok 585/4534, retries 0, predicted $0.0016 (projected), actual $0.0007
2026-09-05T05:58:18.641+00:00 [mercury-2.5-preview] web-008-snake: ok, score 1.00, 5.1s, tok 550/4184, retries 0, predicted $0.0015 (projected), actual $0.0006
2026-09-05T05:58:24.249+00:00 [mercury-2.5-preview] web-009-physics: ok, score 1.00, 3.7s, tok 488/3470, retries 0, predicted $0.0011 (projected), actual $0.0005
2026-09-05T05:58:33.678+00:00 [mercury-2.5-preview] web-010-2048: ok, score 0.62, 7.6s, tok 546/4342, retries 0, predicted $0.0017 (projected), actual $0.0007
2026-09-05T05:58:42.527+00:00 [mercury-2.5-preview] web-011-sort: ok, score 1.00, 7.1s, tok 422/3517, retries 0, predicted $0.0018 (projected), actual $0.0005
2026-09-05T05:58:53.644+00:00 [mercury-2.5-preview] web-012-coin: ok, score 0.00, 9.0s, tok 927/7343, retries 0, predicted $0.0038 (projected), actual $0.0011
2026-09-05T05:59:03.201+00:00 [mercury-2.5-preview] web-013-billiards: ok, score 0.50, 7.2s, tok 748/5478, retries 0, predicted $0.0035 (projected), actual $0.0009
2026-09-05T05:59:06.622+00:00 [mercury-2.5-preview] rs-006-string-pipeline: ok, score 0.00, 3.4s, tok 252/1987, retries 0, predicted $0.0013 (projected), actual $0.0003
2026-09-05T05:59:10.108+00:00 [mercury-2.5-preview] rs-008-river-boat: ok, score 1.00, 3.5s, tok 229/2625, retries 0, predicted $0.0010 (projected), actual $0.0004
2026-09-05T05:59:12.205+00:00 [mercury-2.5-preview] rs-009-birthday-twist: ok, score 1.00, 2.1s, tok 185/1660, retries 0, predicted $0.0009 (projected), actual $0.0003
2026-09-05T05:59:15.422+00:00 [mercury-2.5-preview] rs-010-ants-rod: ok, score 0.00, 3.2s, tok 212/2415, retries 0, predicted $0.0018 (projected), actual $0.0004
2026-09-05T05:59:18.200+00:00 [mercury-2.5-preview] rs-011-gear-axle-train: ok, score 1.00, 2.8s, tok 342/2689, retries 0, predicted $0.0007 (projected), actual $0.0004
2026-09-05T05:59:22.196+00:00 [mercury-2.5-preview] rs-012-permutation-track: ok, score 1.00, 4.0s, tok 367/2816, retries 0, predicted $0.0011 (projected), actual $0.0004
2026-09-05T05:59:26.069+00:00 [mercury-2.5-preview] rs-013-statemachine-trace: ok, score 0.80, 3.4s, tok 735/2442, retries 0, predicted $0.0015 (projected), actual $0.0004
2026-09-05T05:59:29.633+00:00 [mercury-2.5-preview] rs-014-ledger-amend-chain: ok, score 1.00, 3.6s, tok 1627/3566, retries 0, predicted $0.0017 (projected), actual $0.0006
2026-09-05T05:59:34.471+00:00 [mercury-2.5-preview] rs-015-graph-rewrite-trace: ok, score 0.14, 4.3s, tok 4134/3795, retries 0, predicted $0.0054 (projected), actual $0.0007
2026-09-05T05:59:36.372+00:00 [mercury-2.5-preview] tool-001-select-call: ok, score 1.00, 1.4s, tok 241/841, retries 0, predicted $0.0000 (projected), actual $0.0001
2026-09-05T05:59:37.733+00:00 [mercury-2.5-preview] tool-002-select-hard: ok, score 1.00, 0.9s, tok 262/426, retries 0, predicted $0.0000 (projected), actual $0.0001
2026-09-05T05:59:37.733+00:00 [mercury-2.5-preview] done
