2026-07-28T03:51:40.524+00:00 [gpt-5.6-terra] start (openai)
2026-07-28T03:51:51.837+00:00 [gpt-5.6-terra] ag-001-fix-bugs: ok, score 1.00, 10.8s, tok 5252/643, retries 0
2026-07-28T03:55:24.754+00:00 [gpt-5.6-terra] py-008-json-parser: ok, score 1.00, 14.5s, tok 350/1901, retries 0
2026-07-28T03:55:25.970+00:00 [gpt-5.6-terra] ext-001-fields-json: ok, score 1.00, 1.0s, tok 156/37, retries 0
2026-07-28T03:55:29.836+00:00 [gpt-5.6-terra] ext-002-nested-normalize: ok, score 1.00, 3.6s, tok 323/101, retries 0
2026-07-28T03:55:30.980+00:00 [gpt-5.6-terra] hl-001-grounded-qa: ok, score 1.00, 0.9s, tok 199/29, retries 0
2026-07-28T03:55:32.227+00:00 [gpt-5.6-terra] hl-002-abstain-hard: ok, score 1.00, 1.0s, tok 266/45, retries 0
2026-07-28T03:55:35.784+00:00 [gpt-5.6-terra] if-001-format-exact: ok, score 1.00, 3.3s, tok 150/108, retries 0
2026-07-28T03:55:40.448+00:00 [gpt-5.6-terra] if-002-constraint-stack: ok, score 1.00, 4.4s, tok 158/260, retries 0
2026-07-28T03:55:41.874+00:00 [gpt-5.6-terra] ctx-003-recall-32k: ok, score 1.00, 1.4s, tok 37265/9, retries 0
2026-07-28T03:55:43.489+00:00 [gpt-5.6-terra] ctx-004-recall-64k: ok, score 1.00, 1.6s, tok 74147/9, retries 0
2026-07-28T03:55:46.006+00:00 [gpt-5.6-terra] ctx-005-aggregate-16k: ok, score 1.00, 2.5s, tok 18687/34, retries 0
2026-07-28T03:55:48.348+00:00 [gpt-5.6-terra] ctx-006-superseded-16k: ok, score 1.00, 2.3s, tok 18941/50, retries 0
2026-07-28T03:55:51.418+00:00 [gpt-5.6-terra] ctx-007-tally-16k: ok, score 1.00, 3.1s, tok 19104/127, retries 0
2026-07-28T03:55:53.615+00:00 [gpt-5.6-terra] ctx-008-recall-128k: ok, score 1.00, 2.2s, tok 147804/29, retries 0
2026-07-28T03:55:55.066+00:00 [gpt-5.6-terra] ctx-009-multihop-32k: ok, score 1.00, 1.4s, tok 37646/30, retries 0
2026-07-28T03:55:58.213+00:00 [gpt-5.6-terra] ctx-010-decoy-recall-32k: ok, score 1.00, 3.1s, tok 35771/173, retries 0
2026-07-28T03:55:59.700+00:00 [gpt-5.6-terra] ctx-011-multihop-deep-32k: ok, score 1.00, 1.5s, tok 16558/60, retries 0
2026-07-28T03:56:06.806+00:00 [gpt-5.6-terra] ctx-012-aggregate-reversals-32k: ok, score 1.00, 7.1s, tok 23322/798, retries 0
2026-07-28T03:56:40.008+00:00 [gpt-5.6-terra] ctx-013-ledger-supersede-64k: ok, score 0.60, 32.9s, tok 26410/4069, retries 0
2026-07-28T03:56:42.580+00:00 [gpt-5.6-terra] math-001-multistep: ok, score 1.00, 2.6s, tok 152/92, retries 0
2026-07-28T03:56:45.917+00:00 [gpt-5.6-terra] math-002-rate-mix: ok, score 1.00, 3.3s, tok 163/84, retries 0
2026-07-28T03:57:27.388+00:00 [gpt-5.6-terra] web-001-desktop: ok, score 1.00, 36.9s, tok 609/6066, retries 0
2026-07-28T03:58:24.430+00:00 [gpt-5.6-terra] web-002-maze: ok, score 1.00, 53.8s, tok 716/6136, retries 0
2026-07-28T03:59:26.377+00:00 [gpt-5.6-terra] web-003-sand: ok, score 1.00, 60.6s, tok 687/6276, retries 0
2026-07-28T03:59:49.613+00:00 [gpt-5.6-terra] web-004-kanban: ok, score 1.00, 19.5s, tok 396/3164, retries 0
2026-07-28T04:00:11.566+00:00 [gpt-5.6-terra] web-005-expense: ok, score 1.00, 17.8s, tok 497/3435, retries 0
2026-07-28T04:01:01.261+00:00 [gpt-5.6-terra] web-006-spreadsheet: ok, score 1.00, 46.7s, tok 518/5340, retries 0
2026-07-28T04:01:56.208+00:00 [gpt-5.6-terra] web-007-life: ok, score 1.00, 53.8s, tok 554/2678, retries 0
2026-07-28T04:02:26.910+00:00 [gpt-5.6-terra] web-008-snake: ok, score 1.00, 29.6s, tok 515/4054, retries 0
2026-07-28T04:02:50.239+00:00 [gpt-5.6-terra] web-009-physics: ok, score 1.00, 22.2s, tok 463/2896, retries 0
2026-07-28T04:03:04.381+00:00 [gpt-5.6-terra] web-010-2048: ok, score 1.00, 13.0s, tok 517/2289, retries 0
2026-07-28T04:03:26.891+00:00 [gpt-5.6-terra] web-011-sort: ok, score 1.00, 21.4s, tok 420/2511, retries 0
2026-07-28T04:04:29.678+00:00 [gpt-5.6-terra] web-012-coin: ok, score 0.80, 58.5s, tok 889/6313, retries 0
2026-07-28T04:05:30.930+00:00 [gpt-5.6-terra] web-013-billiards: error, score 0.00, 61.2s, tok ?/?, retries 1
2026-07-28T04:05:36.363+00:00 [gpt-5.6-terra] rs-006-string-pipeline: ok, score 1.00, 5.4s, tok 228/231, retries 0
2026-07-28T04:05:41.167+00:00 [gpt-5.6-terra] rs-008-river-boat: ok, score 1.00, 4.8s, tok 215/160, retries 0
2026-07-28T04:05:45.476+00:00 [gpt-5.6-terra] rs-009-birthday-twist: ok, score 1.00, 4.3s, tok 170/188, retries 0
2026-07-28T04:05:55.629+00:00 [gpt-5.6-terra] rs-010-ants-rod: ok, score 1.00, 10.1s, tok 193/852, retries 0
2026-07-28T04:05:58.987+00:00 [gpt-5.6-terra] rs-011-gear-axle-train: ok, score 1.00, 3.4s, tok 320/130, retries 0
2026-07-28T04:06:02.769+00:00 [gpt-5.6-terra] rs-012-permutation-track: ok, score 1.00, 3.8s, tok 339/148, retries 0
2026-07-28T04:06:12.613+00:00 [gpt-5.6-terra] rs-013-statemachine-trace: ok, score 1.00, 9.6s, tok 703/583, retries 0
2026-07-28T04:06:14.558+00:00 [gpt-5.6-terra] tool-001-select-call: ok, score 1.00, 1.7s, tok 223/28, retries 0
2026-07-28T04:06:16.332+00:00 [gpt-5.6-terra] tool-002-select-hard: ok, score 1.00, 1.5s, tok 238/16, retries 0
2026-07-28T04:06:16.332+00:00 [gpt-5.6-terra] done
2026-07-28T04:06:16.332+00:00 [laguna-s-2.1] start (openai)
2026-07-28T04:08:30.731+00:00 [laguna-s-2.1] ag-001-fix-bugs: ok, score 1.00, 133.9s, tok 9422/1628, retries 8
2026-07-28T04:09:41.536+00:00 [laguna-s-2.1] ag-002-build-cli: provider rate-limited (429) - dropped UNSCORED, not zeroed. Re-run to fill it in.
2026-07-28T04:11:28.556+00:00 [laguna-s-2.1] ag-003-fix-package: provider rate-limited (429) - dropped UNSCORED, not zeroed. Re-run to fill it in.
2026-07-28T04:12:34.580+00:00 [laguna-s-2.1] ag-004-data-pipeline: ok, score 1.00, 65.7s, tok 6844/2207, retries 4
2026-07-28T04:13:55.370+00:00 [laguna-s-2.1] ag-005-codebase-recon: ok, score 1.00, 80.5s, tok 15587/633, retries 5
2026-07-28T04:15:04.685+00:00 [laguna-s-2.1] ag-006-perf-optimize: provider rate-limited (429) - dropped UNSCORED, not zeroed. Re-run to fill it in.
2026-07-28T04:16:01.993+00:00 [laguna-s-2.1] ag-007-regression-hunt: provider rate-limited (429) - dropped UNSCORED, not zeroed. Re-run to fill it in.
2026-07-28T04:16:33.365+00:00 [laguna-s-2.1] ag-008-collections-fix: provider rate-limited (429) - dropped UNSCORED, not zeroed. Re-run to fill it in.
2026-07-28T04:16:33.366+00:00 [laguna-s-2.1] rate-limited on 3 tasks in a row - skipping this model's remaining tasks. 3 completed task(s) saved, nothing scored as failure. Add your own provider key or retry later, then re-run laguna-s-2.1 to fill the gaps.
2026-07-28T04:16:33.372+00:00 [qwen3.7-plus] start (openai)
2026-07-28T04:17:10.205+00:00 [qwen3.7-plus] ag-001-fix-bugs: ok, score 1.00, 36.4s, tok 9189/1480, retries 0
2026-07-28T04:18:11.327+00:00 [qwen3.7-plus] ag-002-build-cli: ok, score 1.00, 60.7s, tok 12526/2788, retries 0
2026-07-28T04:19:14.460+00:00 [qwen3.7-plus] ag-003-fix-package: ok, score 1.00, 62.9s, tok 18071/2664, retries 0
2026-07-28T04:20:22.877+00:00 [qwen3.7-plus] ag-004-data-pipeline: ok, score 1.00, 67.8s, tok 8703/3318, retries 0
2026-07-28T04:20:48.965+00:00 [qwen3.7-plus] ag-005-codebase-recon: ok, score 1.00, 25.8s, tok 13459/850, retries 0
2026-07-28T04:21:52.453+00:00 [qwen3.7-plus] ag-006-perf-optimize: ok, score 1.00, 62.5s, tok 11297/1750, retries 0
2026-07-28T04:23:06.252+00:00 [qwen3.7-plus] ag-007-regression-hunt: ok, score 1.00, 73.5s, tok 40221/2867, retries 0
2026-07-28T04:24:01.810+00:00 [qwen3.7-plus] ag-008-collections-fix: ok, score 1.00, 55.3s, tok 19229/2123, retries 0
2026-07-28T04:24:44.594+00:00 [qwen3.7-plus] py-003-date-parser: ok, score 0.89, 42.5s, tok 307/2299, retries 0
2026-07-28T04:26:19.470+00:00 [qwen3.7-plus] py-004-expr-eval: ok, score 1.00, 94.6s, tok 322/5187, retries 0
2026-07-28T04:32:38.261+00:00 [qwen3.7-plus] py-005-csv-parser: ok, score 1.00, 378.5s, tok 329/20940, retries 0
2026-07-28T04:33:03.350+00:00 [qwen3.7-plus] py-006-toposort: ok, score 1.00, 24.8s, tok 281/1311, retries 0
2026-07-28T04:34:33.980+00:00 [qwen3.7-plus] py-007-regex-engine: ok, score 1.00, 90.3s, tok 280/4943, retries 0
2026-07-28T04:35:56.485+00:00 [qwen3.7-plus] py-008-json-parser: ok, score 1.00, 82.2s, tok 361/4469, retries 0
2026-07-28T04:36:12.112+00:00 [qwen3.7-plus] ext-001-fields-json: ok, score 1.00, 15.3s, tok 175/783, retries 0
2026-07-28T04:36:35.719+00:00 [qwen3.7-plus] ext-002-nested-normalize: ok, score 1.00, 23.3s, tok 362/1205, retries 0
2026-07-28T04:36:45.455+00:00 [qwen3.7-plus] hl-001-grounded-qa: ok, score 1.00, 9.4s, tok 220/426, retries 0
2026-07-28T04:37:01.976+00:00 [qwen3.7-plus] hl-002-abstain-hard: ok, score 1.00, 16.2s, tok 288/828, retries 0
2026-07-28T04:37:26.979+00:00 [qwen3.7-plus] if-001-format-exact: ok, score 1.00, 24.7s, tok 160/1301, retries 0
2026-07-28T04:38:30.547+00:00 [qwen3.7-plus] if-002-constraint-stack: ok, score 1.00, 63.3s, tok 167/3434, retries 0
2026-07-28T04:38:47.282+00:00 [qwen3.7-plus] ctx-003-recall-32k: ok, score 1.00, 16.7s, tok 47566/786, retries 0
2026-07-28T04:39:13.064+00:00 [qwen3.7-plus] ctx-004-recall-64k: ok, score 1.00, 25.8s, tok 94622/1212, retries 0
2026-07-28T04:39:37.840+00:00 [qwen3.7-plus] ctx-005-aggregate-16k: ok, score 1.00, 24.8s, tok 23801/1220, retries 0
2026-07-28T04:40:03.955+00:00 [qwen3.7-plus] ctx-006-superseded-16k: ok, score 1.00, 26.1s, tok 24117/1317, retries 0
2026-07-28T04:41:19.051+00:00 [qwen3.7-plus] ctx-007-tally-16k: ok, score 1.00, 75.1s, tok 24378/4052, retries 0
2026-07-28T04:41:39.152+00:00 [qwen3.7-plus] ctx-008-recall-128k: ok, score 1.00, 20.1s, tok 188599/676, retries 0
2026-07-28T04:41:58.186+00:00 [qwen3.7-plus] ctx-009-multihop-32k: ok, score 1.00, 19.0s, tok 48083/932, retries 0
2026-07-28T04:42:30.957+00:00 [qwen3.7-plus] ctx-010-decoy-recall-32k: ok, score 1.00, 32.8s, tok 44176/1712, retries 0
2026-07-28T04:42:43.695+00:00 [qwen3.7-plus] ctx-011-multihop-deep-32k: ok, score 1.00, 12.7s, tok 20687/563, retries 0
2026-07-28T04:45:17.217+00:00 [qwen3.7-plus] ctx-012-aggregate-reversals-32k: ok, score 1.00, 153.5s, tok 30189/8398, retries 0
2026-07-28T05:07:27.285+00:00 [qwen3.7-plus] ctx-013-ledger-supersede-64k: ok, score 0.60, 1329.8s, tok 29412/23595, retries 1
2026-07-28T05:07:44.169+00:00 [qwen3.7-plus] math-001-multistep: ok, score 1.00, 16.9s, tok 166/855, retries 0
2026-07-28T05:07:58.783+00:00 [qwen3.7-plus] math-002-rate-mix: ok, score 1.00, 14.6s, tok 177/724, retries 0
2026-07-28T05:09:59.650+00:00 [qwen3.7-plus] web-001-desktop: ok, score 0.90, 115.0s, tok 639/6303, retries 0
2026-07-28T05:27:51.699+00:00 [qwen3.7-plus] web-002-maze: ok, score 1.00, 1068.8s, tok 750/59299, retries 0
2026-07-28T05:42:36.938+00:00 [qwen3.7-plus] web-003-sand: ok, score 1.00, 884.1s, tok 720/49035, retries 0
2026-07-28T05:43:34.805+00:00 [qwen3.7-plus] web-004-kanban: ok, score 1.00, 54.1s, tok 411/2923, retries 0
2026-07-28T05:44:37.526+00:00 [qwen3.7-plus] web-005-expense: ok, score 1.00, 58.5s, tok 523/3190, retries 0
2026-07-28T05:46:28.645+00:00 [qwen3.7-plus] web-006-spreadsheet: ok, score 1.00, 108.2s, tok 550/5923, retries 0
2026-07-28T05:47:33.224+00:00 [qwen3.7-plus] web-007-life: ok, score 1.00, 63.4s, tok 583/3458, retries 0
2026-07-28T05:48:54.075+00:00 [qwen3.7-plus] web-008-snake: ok, score 1.00, 79.7s, tok 547/4347, retries 0
2026-07-28T05:49:57.704+00:00 [qwen3.7-plus] web-009-physics: ok, score 1.00, 62.5s, tok 484/3411, retries 0
2026-07-28T05:50:50.955+00:00 [qwen3.7-plus] web-010-2048: ok, score 1.00, 52.1s, tok 537/2804, retries 0
2026-07-28T05:51:39.365+00:00 [qwen3.7-plus] web-011-sort: ok, score 1.00, 47.3s, tok 434/2564, retries 0
2026-07-28T05:56:04.681+00:00 [qwen3.7-plus] web-012-coin: ok, score 0.18, 260.7s, tok 917/14429, retries 0
2026-07-28T05:58:17.566+00:00 [qwen3.7-plus] web-013-billiards: ok, score 0.50, 130.9s, tok 769/7208, retries 0
2026-07-28T05:58:38.891+00:00 [qwen3.7-plus] rs-006-string-pipeline: ok, score 1.00, 21.3s, tok 245/1109, retries 0
2026-07-28T05:59:44.185+00:00 [qwen3.7-plus] rs-008-river-boat: ok, score 1.00, 65.3s, tok 229/3565, retries 0
2026-07-28T06:00:19.863+00:00 [qwen3.7-plus] rs-009-birthday-twist: ok, score 1.00, 35.7s, tok 184/1917, retries 0
2026-07-28T06:01:44.575+00:00 [qwen3.7-plus] rs-010-ants-rod: ok, score 1.00, 84.7s, tok 211/4633, retries 0
2026-07-28T06:02:24.389+00:00 [qwen3.7-plus] rs-011-gear-axle-train: ok, score 1.00, 39.8s, tok 349/2139, retries 0
2026-07-28T06:03:16.855+00:00 [qwen3.7-plus] rs-012-permutation-track: ok, score 1.00, 52.5s, tok 363/2854, retries 0
2026-07-28T06:04:14.840+00:00 [qwen3.7-plus] rs-013-statemachine-trace: ok, score 0.60, 57.7s, tok 755/3143, retries 0
2026-07-28T06:04:19.509+00:00 [qwen3.7-plus] tool-001-select-call: ok, score 1.00, 4.4s, tok 238/169, retries 0
2026-07-28T06:04:23.102+00:00 [qwen3.7-plus] tool-002-select-hard: ok, score 1.00, 3.3s, tok 254/116, retries 0
2026-07-28T06:04:23.102+00:00 [qwen3.7-plus] done
