2026-07-27T21:26:50.542+00:00 [gpt-5.6-luna] start (openai)
2026-07-27T21:27:07.384+00:00 [gpt-5.6-luna] ag-001-fix-bugs: ok, score 1.00, 16.3s, tok 5085/779, retries 0
2026-07-27T21:36:12.104+00:00 [gpt-5.6-luna] web-004-kanban: ok, score 1.00, 26.5s, tok 396/3306, retries 0
2026-07-27T21:36:41.454+00:00 [gpt-5.6-luna] web-005-expense: ok, score 1.00, 25.2s, tok 497/4069, retries 0
2026-07-27T21:37:15.053+00:00 [gpt-5.6-luna] web-006-spreadsheet: ok, score 0.91, 30.6s, tok 518/4018, retries 0
2026-07-27T21:37:35.038+00:00 [gpt-5.6-luna] web-007-life: ok, score 1.00, 18.8s, tok 554/3074, retries 0
2026-07-27T21:37:55.043+00:00 [gpt-5.6-luna] web-008-snake: ok, score 1.00, 18.9s, tok 515/3605, retries 0
2026-07-27T21:38:20.181+00:00 [gpt-5.6-luna] web-009-physics: ok, score 1.00, 23.7s, tok 463/3515, retries 0
2026-07-27T21:38:37.349+00:00 [gpt-5.6-luna] web-010-2048: ok, score 1.00, 16.0s, tok 517/2694, retries 0
2026-07-27T21:39:05.521+00:00 [gpt-5.6-luna] web-011-sort: ok, score 1.00, 27.0s, tok 420/2882, retries 0
2026-07-27T21:39:44.854+00:00 [gpt-5.6-luna] web-012-coin: ok, score 0.80, 35.2s, tok 889/5386, retries 0
2026-07-27T21:40:19.617+00:00 [gpt-5.6-luna] web-013-billiards: ok, score 0.80, 28.2s, tok 753/4725, retries 0
2026-07-27T21:40:24.272+00:00 [gpt-5.6-luna] rs-006-string-pipeline: ok, score 1.00, 4.6s, tok 228/466, retries 0
2026-07-27T21:40:31.459+00:00 [gpt-5.6-luna] rs-008-river-boat: ok, score 1.00, 7.2s, tok 215/382, retries 0
2026-07-27T21:40:36.130+00:00 [gpt-5.6-luna] rs-009-birthday-twist: ok, score 1.00, 4.7s, tok 170/275, retries 0
2026-07-27T21:40:43.644+00:00 [gpt-5.6-luna] rs-010-ants-rod: ok, score 0.00, 7.5s, tok 193/859, retries 0
2026-07-27T21:40:46.713+00:00 [gpt-5.6-luna] rs-011-gear-axle-train: ok, score 1.00, 3.1s, tok 320/148, retries 0
2026-07-27T21:40:50.964+00:00 [gpt-5.6-luna] rs-012-permutation-track: ok, score 1.00, 4.2s, tok 339/325, retries 0
2026-07-27T21:40:57.731+00:00 [gpt-5.6-luna] rs-013-statemachine-trace: ok, score 1.00, 6.5s, tok 703/700, retries 0
2026-07-27T21:40:59.115+00:00 [gpt-5.6-luna] tool-001-select-call: ok, score 1.00, 1.1s, tok 223/28, retries 0
2026-07-27T21:41:00.905+00:00 [gpt-5.6-luna] tool-002-select-hard: ok, score 1.00, 1.5s, tok 238/33, retries 0
2026-07-27T21:41:00.905+00:00 [gpt-5.6-luna] done
2026-07-27T21:41:00.905+00:00 [grok-4.5] start (openai)
2026-07-27T21:41:18.687+00:00 [grok-4.5] ag-001-fix-bugs: ok, score 1.00, 17.3s, tok 7660/849, retries 0
2026-07-27T21:42:03.230+00:00 [grok-4.5] ag-002-build-cli: ok, score 1.00, 44.1s, tok 15117/1152, retries 0
2026-07-27T21:42:20.919+00:00 [grok-4.5] ag-003-fix-package: ok, score 1.00, 17.4s, tok 9093/988, retries 0
2026-07-27T21:42:33.111+00:00 [grok-4.5] ag-004-data-pipeline: ok, score 1.00, 11.9s, tok 6042/632, retries 0
2026-07-27T21:42:44.245+00:00 [grok-4.5] ag-005-codebase-recon: ok, score 1.00, 10.9s, tok 11258/411, retries 0
2026-07-27T21:43:02.890+00:00 [grok-4.5] ag-006-perf-optimize: ok, score 1.00, 17.7s, tok 9761/895, retries 0
2026-07-27T21:43:24.429+00:00 [grok-4.5] ag-007-regression-hunt: ok, score 1.00, 21.3s, tok 21240/1272, retries 0
2026-07-27T21:43:42.016+00:00 [grok-4.5] ag-008-collections-fix: ok, score 1.00, 17.3s, tok 15429/824, retries 0
2026-07-27T21:44:03.220+00:00 [grok-4.5] py-003-date-parser: ok, score 1.00, 20.9s, tok 489/1847, retries 0
2026-07-27T21:44:36.278+00:00 [grok-4.5] py-004-expr-eval: ok, score 1.00, 32.8s, tok 512/2856, retries 0
2026-07-27T21:44:47.600+00:00 [grok-4.5] py-005-csv-parser: ok, score 0.90, 11.1s, tok 522/809, retries 0
2026-07-27T21:45:04.515+00:00 [grok-4.5] py-006-toposort: ok, score 1.00, 16.7s, tok 477/1383, retries 0
2026-07-27T21:46:07.308+00:00 [grok-4.5] py-007-regex-engine: ok, score 1.00, 62.5s, tok 465/4529, retries 0
2026-07-27T21:46:22.773+00:00 [grok-4.5] py-008-json-parser: ok, score 1.00, 15.2s, tok 543/1526, retries 0
2026-07-27T21:46:26.035+00:00 [grok-4.5] ext-001-fields-json: ok, score 1.00, 3.0s, tok 360/209, retries 0
2026-07-27T21:46:33.373+00:00 [grok-4.5] ext-002-nested-normalize: ok, score 1.00, 7.1s, tok 530/657, retries 0
2026-07-27T21:46:36.630+00:00 [grok-4.5] hl-001-grounded-qa: ok, score 1.00, 3.0s, tok 402/228, retries 0
2026-07-27T21:46:42.234+00:00 [grok-4.5] hl-002-abstain-hard: ok, score 1.00, 5.3s, tok 467/402, retries 0
2026-07-27T21:46:50.056+00:00 [grok-4.5] if-001-format-exact: ok, score 1.00, 7.6s, tok 349/463, retries 0
2026-07-27T21:47:10.562+00:00 [grok-4.5] if-002-constraint-stack: ok, score 1.00, 20.2s, tok 360/1120, retries 0
2026-07-27T21:47:16.581+00:00 [grok-4.5] ctx-003-recall-32k: ok, score 1.00, 6.0s, tok 37463/361, retries 0
2026-07-27T21:47:24.632+00:00 [grok-4.5] ctx-004-recall-64k: ok, score 1.00, 8.0s, tok 74363/353, retries 0
2026-07-27T21:47:29.026+00:00 [grok-4.5] ctx-005-aggregate-16k: ok, score 1.00, 4.4s, tok 18885/274, retries 0
2026-07-27T21:47:39.498+00:00 [grok-4.5] ctx-006-superseded-16k: ok, score 1.00, 10.5s, tok 19136/712, retries 0
2026-07-27T21:47:49.915+00:00 [grok-4.5] ctx-007-tally-16k: ok, score 1.00, 10.4s, tok 19344/969, retries 0
2026-07-27T21:48:02.182+00:00 [grok-4.5] ctx-008-recall-128k: ok, score 1.00, 12.3s, tok 147869/106, retries 0
2026-07-27T21:48:08.306+00:00 [grok-4.5] ctx-009-multihop-32k: ok, score 1.00, 6.1s, tok 37848/302, retries 0
2026-07-27T21:48:23.387+00:00 [grok-4.5] ctx-010-decoy-recall-32k: ok, score 1.00, 15.1s, tok 36014/1252, retries 0
2026-07-27T21:48:28.721+00:00 [grok-4.5] ctx-011-multihop-deep-32k: ok, score 1.00, 5.3s, tok 16737/319, retries 0
2026-07-27T21:48:54.591+00:00 [grok-4.5] ctx-012-aggregate-reversals-32k: ok, score 1.00, 25.9s, tok 22472/2376, retries 0
2026-07-27T21:49:00.573+00:00 [grok-4.5] ctx-013-ledger-supersede-64k: ok, score 0.00, 5.2s, tok 26507/195, retries 0
2026-07-27T21:49:08.946+00:00 [grok-4.5] math-001-multistep: ok, score 1.00, 8.3s, tok 353/603, retries 0
2026-07-27T21:49:15.115+00:00 [grok-4.5] math-002-rate-mix: ok, score 1.00, 6.2s, tok 363/482, retries 0
2026-07-27T21:50:47.507+00:00 [grok-4.5] web-001-desktop: ok, score 1.00, 87.8s, tok 821/8264, retries 0
2026-07-27T21:52:07.529+00:00 [grok-4.5] web-002-maze: ok, score 1.00, 76.8s, tok 939/6432, retries 0
2026-07-27T21:52:55.995+00:00 [grok-4.5] web-003-sand: ok, score 0.80, 47.3s, tok 890/3947, retries 0
2026-07-27T21:53:33.009+00:00 [grok-4.5] web-004-kanban: ok, score 1.00, 33.4s, tok 601/2950, retries 0
2026-07-27T21:54:11.256+00:00 [grok-4.5] web-005-expense: ok, score 1.00, 34.1s, tok 700/3337, retries 0
2026-07-27T21:55:06.346+00:00 [grok-4.5] web-006-spreadsheet: ok, score 0.91, 52.6s, tok 732/4625, retries 0
2026-07-27T21:55:42.769+00:00 [grok-4.5] web-007-life: ok, score 1.00, 35.3s, tok 763/3162, retries 0
2026-07-27T21:56:20.310+00:00 [grok-4.5] web-008-snake: ok, score 1.00, 36.4s, tok 715/3426, retries 0
2026-07-27T21:56:46.974+00:00 [grok-4.5] web-009-physics: ok, score 1.00, 25.5s, tok 667/2493, retries 0
2026-07-27T21:57:15.474+00:00 [grok-4.5] web-010-2048: ok, score 1.00, 27.4s, tok 716/2717, retries 0
2026-07-27T21:57:35.139+00:00 [grok-4.5] web-011-sort: ok, score 1.00, 18.6s, tok 620/1683, retries 0
2026-07-27T22:00:06.806+00:00 [grok-4.5] web-012-coin: ok, score 0.00, 150.3s, tok 1102/13435, retries 0
2026-07-27T22:01:23.900+00:00 [grok-4.5] web-013-billiards: ok, score 0.20, 75.7s, tok 980/6568, retries 0
2026-07-27T22:01:33.530+00:00 [grok-4.5] rs-006-string-pipeline: ok, score 1.00, 9.6s, tok 425/693, retries 0
2026-07-27T22:02:02.143+00:00 [grok-4.5] rs-008-river-boat: ok, score 1.00, 28.6s, tok 415/1550, retries 0
2026-07-27T22:02:24.638+00:00 [grok-4.5] rs-009-birthday-twist: ok, score 1.00, 22.5s, tok 369/1846, retries 0
2026-07-27T22:03:13.895+00:00 [grok-4.5] rs-010-ants-rod: ok, score 1.00, 49.3s, tok 396/3322, retries 0
2026-07-27T22:03:28.571+00:00 [grok-4.5] rs-011-gear-axle-train: ok, score 1.00, 14.7s, tok 513/1165, retries 0
2026-07-27T22:03:40.026+00:00 [grok-4.5] rs-012-permutation-track: ok, score 1.00, 11.4s, tok 543/954, retries 0
2026-07-27T22:04:03.881+00:00 [grok-4.5] rs-013-statemachine-trace: ok, score 1.00, 23.6s, tok 908/1869, retries 0
2026-07-27T22:04:06.274+00:00 [grok-4.5] tool-001-select-call: ok, score 1.00, 2.1s, tok 428/112, retries 0
2026-07-27T22:04:20.344+00:00 [grok-4.5] tool-002-select-hard: ok, score 1.00, 13.8s, tok 445/194, retries 0
2026-07-27T22:04:20.344+00:00 [grok-4.5] done
2026-07-27T22:04:20.345+00:00 [kimi-k3] start (openai)
2026-07-27T22:05:08.496+00:00 [kimi-k3] ag-001-fix-bugs: ok, score 1.00, 47.9s, tok 9095/1322, retries 0
2026-07-27T22:06:58.180+00:00 [kimi-k3] ag-002-build-cli: ok, score 1.00, 109.3s, tok 20152/2846, retries 0
2026-07-27T22:08:06.618+00:00 [kimi-k3] ag-003-fix-package: ok, score 1.00, 68.2s, tok 12535/1848, retries 0
2026-07-27T22:08:54.718+00:00 [kimi-k3] ag-004-data-pipeline: ok, score 1.00, 47.8s, tok 6744/1439, retries 0
2026-07-27T22:09:19.272+00:00 [kimi-k3] ag-005-codebase-recon: ok, score 1.00, 24.3s, tok 8969/527, retries 0
2026-07-27T22:10:42.961+00:00 [kimi-k3] ag-006-perf-optimize: ok, score 1.00, 82.6s, tok 8392/2552, retries 0
2026-07-27T22:12:27.143+00:00 [kimi-k3] ag-007-regression-hunt: ok, score 1.00, 103.9s, tok 22255/2890, retries 0
2026-07-27T22:13:15.848+00:00 [kimi-k3] ag-008-collections-fix: ok, score 1.00, 48.4s, tok 11194/1179, retries 0
2026-07-27T22:14:55.144+00:00 [kimi-k3] py-003-date-parser: ok, score 1.00, 99.0s, tok 360/3062, retries 0
2026-07-27T22:18:02.634+00:00 [kimi-k3] py-004-expr-eval: ok, score 1.00, 187.2s, tok 393/7054, retries 0
2026-07-27T22:21:47.691+00:00 [kimi-k3] py-005-csv-parser: ok, score 1.00, 224.8s, tok 395/6844, retries 0
2026-07-27T22:22:23.542+00:00 [kimi-k3] py-006-toposort: ok, score 1.00, 35.6s, tok 356/841, retries 0
2026-07-27T22:25:04.105+00:00 [kimi-k3] py-007-regex-engine: ok, score 1.00, 160.3s, tok 347/5716, retries 0
2026-07-27T22:28:13.249+00:00 [kimi-k3] py-008-json-parser: ok, score 1.00, 188.9s, tok 427/6263, retries 0
2026-07-27T22:28:18.319+00:00 [kimi-k3] ext-001-fields-json: ok, score 1.00, 4.8s, tok 243/143, retries 0
2026-07-27T22:28:32.136+00:00 [kimi-k3] ext-002-nested-normalize: ok, score 1.00, 13.6s, tok 408/448, retries 0
2026-07-27T22:28:36.686+00:00 [kimi-k3] hl-001-grounded-qa: ok, score 1.00, 4.3s, tok 285/103, retries 0
2026-07-27T22:28:46.802+00:00 [kimi-k3] hl-002-abstain-hard: ok, score 1.00, 9.9s, tok 351/373, retries 0
2026-07-27T22:28:55.054+00:00 [kimi-k3] if-001-format-exact: ok, score 1.00, 8.0s, tok 235/197, retries 0
2026-07-27T22:29:42.654+00:00 [kimi-k3] if-002-constraint-stack: ok, score 1.00, 47.3s, tok 244/868, retries 0
2026-07-27T22:29:51.921+00:00 [kimi-k3] ctx-003-recall-32k: ok, score 1.00, 9.3s, tok 37576/150, retries 0
2026-07-27T22:30:05.222+00:00 [kimi-k3] ctx-004-recall-64k: ok, score 1.00, 13.3s, tok 74696/228, retries 0
2026-07-27T22:30:16.383+00:00 [kimi-k3] ctx-005-aggregate-16k: ok, score 1.00, 11.2s, tok 18888/323, retries 0
2026-07-27T22:30:37.748+00:00 [kimi-k3] ctx-006-superseded-16k: ok, score 1.00, 21.4s, tok 19164/758, retries 0
2026-07-27T22:31:10.417+00:00 [kimi-k3] ctx-007-tally-16k: ok, score 1.00, 32.7s, tok 19329/1622, retries 0
2026-07-27T22:31:29.013+00:00 [kimi-k3] ctx-008-recall-128k: ok, score 1.00, 18.6s, tok 148841/307, retries 0
2026-07-27T22:31:40.295+00:00 [kimi-k3] ctx-009-multihop-32k: ok, score 1.00, 11.3s, tok 37971/174, retries 0
2026-07-27T22:32:38.846+00:00 [kimi-k3] ctx-010-decoy-recall-32k: ok, score 1.00, 58.5s, tok 38087/2455, retries 0
2026-07-27T22:32:50.502+00:00 [kimi-k3] ctx-011-multihop-deep-32k: ok, score 1.00, 11.6s, tok 16646/326, retries 0
2026-07-27T22:37:33.925+00:00 [kimi-k3] ctx-012-aggregate-reversals-32k: ok, score 1.00, 283.4s, tok 23408/12622, retries 0
2026-07-27T22:52:28.387+00:00 [kimi-k3] ctx-013-ledger-supersede-64k: ok, score 1.00, 894.2s, tok 26425/37833, retries 0
2026-07-27T22:52:41.610+00:00 [kimi-k3] math-001-multistep: ok, score 1.00, 13.2s, tok 239/455, retries 0
2026-07-27T22:52:47.552+00:00 [kimi-k3] math-002-rate-mix: ok, score 1.00, 5.9s, tok 250/170, retries 0
2026-07-27T23:17:38.842+00:00 [kimi-k3] web-001-desktop: ok, score 1.00, 1486.8s, tok 683/23810, retries 1
2026-07-27T23:35:19.966+00:00 [kimi-k3] web-002-maze: ok, score 0.89, 1057.5s, tok 803/36760, retries 0
2026-07-27T23:43:55.624+00:00 [kimi-k3] web-003-sand: ok, score 0.90, 514.3s, tok 760/18447, retries 0
2026-07-27T23:46:36.084+00:00 [kimi-k3] web-004-kanban: ok, score 1.00, 156.6s, tok 474/10088, retries 0
2026-07-27T23:48:39.737+00:00 [kimi-k3] web-005-expense: ok, score 0.90, 119.4s, tok 570/4170, retries 0
2026-07-27T23:52:52.163+00:00 [kimi-k3] web-006-spreadsheet: ok, score 1.00, 249.2s, tok 599/9976, retries 0
2026-07-27T23:54:19.472+00:00 [kimi-k3] web-007-life: ok, score 1.00, 86.0s, tok 633/3647, retries 0
2026-07-28T00:02:26.758+00:00 [kimi-k3] web-008-snake: ok, score 1.00, 486.0s, tok 594/16325, retries 0
2026-07-28T00:10:26.588+00:00 [kimi-k3] web-009-physics: ok, score 1.00, 478.1s, tok 540/25289, retries 0
2026-07-28T00:12:52.105+00:00 [kimi-k3] web-010-2048: ok, score 1.00, 144.3s, tok 595/6414, retries 0
2026-07-28T00:13:56.083+00:00 [kimi-k3] web-011-sort: ok, score 1.00, 62.8s, tok 498/2539, retries 0
2026-07-28T00:44:02.491+00:00 [kimi-k3] web-012-coin: error, score 0.00, 1806.4s, tok ?/?, retries 1
2026-07-28T00:55:44.469+00:00 [kimi-k3] web-013-billiards: ok, score 0.50, 700.6s, tok 832/26833, retries 0
2026-07-28T00:56:12.001+00:00 [kimi-k3] rs-006-string-pipeline: ok, score 1.00, 27.5s, tok 313/1300, retries 0
2026-07-28T00:56:57.368+00:00 [kimi-k3] rs-008-river-boat: ok, score 1.00, 45.4s, tok 302/1724, retries 0
2026-07-28T00:57:26.216+00:00 [kimi-k3] rs-009-birthday-twist: ok, score 1.00, 28.8s, tok 257/1088, retries 0
2026-07-28T00:59:52.576+00:00 [kimi-k3] rs-010-ants-rod: ok, score 1.00, 146.4s, tok 279/5124, retries 0
2026-07-28T01:00:08.981+00:00 [kimi-k3] rs-011-gear-axle-train: ok, score 1.00, 16.4s, tok 405/564, retries 0
2026-07-28T01:00:47.405+00:00 [kimi-k3] rs-012-permutation-track: ok, score 1.00, 38.4s, tok 427/1311, retries 0
2026-07-28T01:01:49.649+00:00 [kimi-k3] rs-013-statemachine-trace: ok, score 1.00, 62.0s, tok 786/2929, retries 0
2026-07-28T01:01:52.910+00:00 [kimi-k3] tool-001-select-call: ok, score 1.00, 3.0s, tok 311/94, retries 0
2026-07-28T01:01:56.401+00:00 [kimi-k3] tool-002-select-hard: ok, score 1.00, 3.2s, tok 327/63, retries 0
2026-07-28T01:01:56.402+00:00 [kimi-k3] done
2026-07-28T01:01:56.402+00:00 [nemotron-3-ultra-550b-a55b-free] start (openai)
2026-07-28T01:02:39.180+00:00 [nemotron-3-ultra-550b-a55b-free] ag-001-fix-bugs: ok, score 1.00, 42.3s, tok 10769/1436, retries 1
2026-07-28T01:06:36.609+00:00 [nemotron-3-ultra-550b-a55b-free] ag-002-build-cli: max_turns, score 1.00, 236.9s, tok 25322/1855, retries 2
2026-07-28T01:09:36.892+00:00 [nemotron-3-ultra-550b-a55b-free] ag-003-fix-package: ok, score 1.00, 180.0s, tok 39042/3143, retries 1
2026-07-28T01:11:22.615+00:00 [nemotron-3-ultra-550b-a55b-free] ag-004-data-pipeline: ok, score 1.00, 105.5s, tok 39804/3292, retries 3
2026-07-28T01:12:12.868+00:00 [nemotron-3-ultra-550b-a55b-free] ag-005-codebase-recon: ok, score 1.00, 50.0s, tok 29676/1427, retries 2
2026-07-28T01:13:14.269+00:00 [nemotron-3-ultra-550b-a55b-free] ag-006-perf-optimize: ok, score 1.00, 60.4s, tok 12455/1944, retries 0
2026-07-28T01:14:02.144+00:00 [nemotron-3-ultra-550b-a55b-free] ag-007-regression-hunt: max_turns, score 0.00, 47.6s, tok 39041/948, retries 0
2026-07-28T01:14:48.994+00:00 [nemotron-3-ultra-550b-a55b-free] ag-008-collections-fix: max_turns, score 0.00, 46.6s, tok 36014/1224, retries 3
2026-07-28T01:16:17.727+00:00 [nemotron-3-ultra-550b-a55b-free] py-003-date-parser: ok, score 1.00, 88.5s, tok 312/5500, retries 0
2026-07-28T01:21:04.742+00:00 [nemotron-3-ultra-550b-a55b-free] py-004-expr-eval: ok, score 0.33, 286.7s, tok 324/15741, retries 0
2026-07-28T01:25:28.160+00:00 [nemotron-3-ultra-550b-a55b-free] py-005-csv-parser: ok, score 1.00, 263.2s, tok 330/22091, retries 0
2026-07-28T01:25:45.341+00:00 [nemotron-3-ultra-550b-a55b-free] py-006-toposort: ok, score 1.00, 16.9s, tok 279/1672, retries 0
2026-07-28T01:30:52.877+00:00 [nemotron-3-ultra-550b-a55b-free] py-007-regex-engine: ok, score 1.00, 307.3s, tok 269/18918, retries 0
2026-07-28T01:37:41.473+00:00 [nemotron-3-ultra-550b-a55b-free] py-008-json-parser: ok, score 1.00, 408.3s, tok 363/19355, retries 0
2026-07-28T01:37:45.042+00:00 [nemotron-3-ultra-550b-a55b-free] ext-001-fields-json: ok, score 1.00, 3.3s, tok 170/309, retries 0
2026-07-28T01:38:00.583+00:00 [nemotron-3-ultra-550b-a55b-free] ext-002-nested-normalize: ok, score 1.00, 15.3s, tok 349/1066, retries 0
2026-07-28T01:38:42.988+00:00 [nemotron-3-ultra-550b-a55b-free] hl-001-grounded-qa: ok, score 1.00, 42.1s, tok 221/302, retries 0
2026-07-28T01:38:46.461+00:00 [nemotron-3-ultra-550b-a55b-free] hl-002-abstain-hard: ok, score 1.00, 3.2s, tok 283/501, retries 0
2026-07-28T01:38:51.705+00:00 [nemotron-3-ultra-550b-a55b-free] if-001-format-exact: ok, score 1.00, 5.0s, tok 163/615, retries 0
2026-07-28T01:40:06.200+00:00 [nemotron-3-ultra-550b-a55b-free] if-002-constraint-stack: ok, score 1.00, 74.2s, tok 170/3007, retries 0
2026-07-28T01:40:13.629+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-003-recall-32k: ok, score 1.00, 7.4s, tok 46260/541, retries 0
2026-07-28T01:41:28.972+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-004-recall-64k: ok, score 1.00, 75.3s, tok 92064/353, retries 0
2026-07-28T01:41:36.197+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-005-aggregate-16k: ok, score 1.00, 7.2s, tok 23168/524, retries 0
2026-07-28T01:42:56.414+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-006-superseded-16k: ok, score 1.00, 80.2s, tok 23484/4612, retries 0
2026-07-28T01:58:38.526+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-007-tally-16k: error, score 0.00, 942.1s, tok ?/?, retries 1
2026-07-28T01:58:57.724+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-008-recall-128k: ok, score 1.00, 19.2s, tok 183480/545, retries 0
2026-07-28T01:59:04.676+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-009-multihop-32k: ok, score 1.00, 6.9s, tok 46816/548, retries 0
2026-07-28T02:05:14.180+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-010-decoy-recall-32k: ok, score 1.00, 369.5s, tok 41330/31597, retries 0
2026-07-28T02:05:23.487+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-011-multihop-deep-32k: ok, score 1.00, 9.3s, tok 19974/788, retries 0
2026-07-28T02:14:34.826+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-012-aggregate-reversals-32k: ok, score 1.00, 551.3s, tok 32792/40822, retries 0
2026-07-28T02:25:21.163+00:00 [nemotron-3-ultra-550b-a55b-free] ctx-013-ledger-supersede-64k: ok, score 0.00, 646.1s, tok 29881/65536, retries 0
2026-07-28T02:25:32.430+00:00 [nemotron-3-ultra-550b-a55b-free] math-001-multistep: ok, score 1.00, 11.3s, tok 168/863, retries 0
