2026-08-01T03:29:35.944+00:00 [claude-api-haiku-4-5] start (anthropic)
2026-08-01T03:29:52.670+00:00 [claude-api-haiku-4-5] ag-001-fix-bugs: ok, score 1.00, 16.4s, tok 19144/1751, retries 0
2026-08-01T03:34:14.997+00:00 [claude-api-haiku-4-5] hl-002-abstain-hard: ok, score 1.00, 1.6s, tok 298/46, retries 0
2026-08-01T03:34:16.294+00:00 [claude-api-haiku-4-5] if-001-format-exact: ok, score 0.75, 1.0s, tok 164/38, retries 0
2026-08-01T03:34:17.411+00:00 [claude-api-haiku-4-5] if-002-constraint-stack: ok, score 0.60, 0.8s, tok 171/15, retries 0
2026-08-01T03:34:23.162+00:00 [claude-api-haiku-4-5] ctx-003-recall-32k: ok, score 1.00, 5.7s, tok 41894/582, retries 0
2026-08-01T03:34:27.086+00:00 [claude-api-haiku-4-5] ctx-004-recall-64k: ok, score 1.00, 3.9s, tok 83379/120, retries 0
2026-08-01T03:34:31.658+00:00 [claude-api-haiku-4-5] ctx-005-aggregate-16k: ok, score 1.00, 4.6s, tok 21015/576, retries 0
2026-08-01T03:34:35.103+00:00 [claude-api-haiku-4-5] ctx-006-superseded-16k: ok, score 1.00, 3.4s, tok 21292/329, retries 0
2026-08-01T03:34:42.209+00:00 [claude-api-haiku-4-5] ctx-007-tally-16k: ok, score 1.00, 7.1s, tok 21540/892, retries 0
2026-08-01T03:34:48.277+00:00 [claude-api-haiku-4-5] ctx-008-recall-128k: ok, score 1.00, 6.1s, tok 166024/486, retries 0
2026-08-01T03:34:51.551+00:00 [claude-api-haiku-4-5] ctx-009-multihop-32k: ok, score 1.00, 3.3s, tok 42278/209, retries 0
2026-08-01T03:34:56.283+00:00 [claude-api-haiku-4-5] ctx-010-decoy-recall-32k: ok, score 0.00, 4.7s, tok 41699/656, retries 0
2026-08-01T03:34:59.458+00:00 [claude-api-haiku-4-5] ctx-011-multihop-deep-32k: ok, score 1.00, 3.2s, tok 19042/307, retries 0
2026-08-01T03:35:05.901+00:00 [claude-api-haiku-4-5] ctx-012-aggregate-reversals-32k: ok, score 0.00, 6.4s, tok 28154/1032, retries 0
2026-08-01T03:36:11.087+00:00 [claude-api-haiku-4-5] ctx-013-ledger-supersede-64k: ok, score 0.20, 64.9s, tok 30260/10331, retries 0
2026-08-01T03:36:12.841+00:00 [claude-api-haiku-4-5] math-001-multistep: ok, score 1.00, 1.7s, tok 160/203, retries 0
2026-08-01T03:36:15.002+00:00 [claude-api-haiku-4-5] math-002-rate-mix: ok, score 1.00, 2.2s, tok 173/264, retries 0
2026-08-01T03:36:44.922+00:00 [claude-api-haiku-4-5] web-001-desktop: ok, score 1.00, 25.3s, tok 665/5405, retries 0
2026-08-01T03:37:29.864+00:00 [claude-api-haiku-4-5] web-002-maze: ok, score 0.44, 19.6s, tok 802/3762, retries 0
2026-08-01T03:37:52.041+00:00 [claude-api-haiku-4-5] web-003-sand: ok, score 0.90, 21.0s, tok 748/4470, retries 0
2026-08-01T03:38:12.386+00:00 [claude-api-haiku-4-5] web-004-kanban: ok, score 1.00, 16.7s, tok 426/3625, retries 0
2026-08-01T03:38:36.853+00:00 [claude-api-haiku-4-5] web-005-expense: ok, score 1.00, 20.3s, tok 547/4490, retries 0
2026-08-01T03:39:56.760+00:00 [claude-api-haiku-4-5] web-006-spreadsheet: ok, score 0.00, 19.8s, tok 576/4113, retries 0
2026-08-01T03:40:12.209+00:00 [claude-api-haiku-4-5] web-007-life: ok, score 1.00, 14.3s, tok 615/2973, retries 0
2026-08-01T03:40:26.558+00:00 [claude-api-haiku-4-5] web-008-snake: ok, score 1.00, 13.2s, tok 566/2799, retries 0
2026-08-01T03:40:40.125+00:00 [claude-api-haiku-4-5] web-009-physics: ok, score 1.00, 12.4s, tok 521/2504, retries 0
2026-08-01T03:40:58.231+00:00 [claude-api-haiku-4-5] web-010-2048: ok, score 0.38, 17.0s, tok 562/3539, retries 0
2026-08-01T03:41:12.494+00:00 [claude-api-haiku-4-5] web-011-sort: ok, score 1.00, 13.1s, tok 452/2649, retries 0
2026-08-01T03:41:52.732+00:00 [claude-api-haiku-4-5] web-012-coin: ok, score 0.68, 36.0s, tok 972/6947, retries 0
2026-08-01T03:42:18.235+00:00 [claude-api-haiku-4-5] web-013-billiards: ok, score 0.20, 24.1s, tok 847/4874, retries 0
2026-08-01T03:42:50.108+00:00 [claude-api-haiku-4-5] rs-006-string-pipeline: ok, score 0.00, 31.9s, tok 242/5199, retries 0
2026-08-01T03:42:55.886+00:00 [claude-api-haiku-4-5] rs-008-river-boat: ok, score 0.00, 5.5s, tok 232/637, retries 0
2026-08-01T03:43:01.981+00:00 [claude-api-haiku-4-5] rs-009-birthday-twist: ok, score 0.00, 5.6s, tok 178/717, retries 0
2026-08-01T03:43:10.504+00:00 [claude-api-haiku-4-5] rs-010-ants-rod: ok, score 0.00, 8.4s, tok 217/1233, retries 0
2026-08-01T03:43:13.842+00:00 [claude-api-haiku-4-5] rs-011-gear-axle-train: ok, score 1.00, 3.3s, tok 371/661, retries 0
2026-08-01T03:43:17.586+00:00 [claude-api-haiku-4-5] rs-012-permutation-track: ok, score 1.00, 3.7s, tok 386/705, retries 0
2026-08-01T03:43:23.680+00:00 [claude-api-haiku-4-5] rs-013-statemachine-trace: ok, score 1.00, 5.8s, tok 782/1177, retries 0
2026-08-01T03:43:25.673+00:00 [claude-api-haiku-4-5] tool-001-select-call: ok, score 1.00, 1.7s, tok 242/40, retries 0
2026-08-01T03:43:26.785+00:00 [claude-api-haiku-4-5] tool-002-select-hard: ok, score 1.00, 0.8s, tok 263/26, retries 0
2026-08-01T03:43:26.785+00:00 [claude-api-haiku-4-5] done
