2026-07-27T14:18:35.287+00:00 [qwen3.5-9b] start (openai, local)
2026-07-27T14:18:35.324+00:00 [qwen3.5-9b] lms: unloading to free VRAM...
2026-07-27T14:18:35.577+00:00 [qwen3.5-9b] lms: loading qwen/qwen3.5-9b @ context 131,072 (max GPU offload) for 54 task(s)...
2026-07-27T14:18:52.994+00:00 [qwen3.5-9b] loaded @ 131,072 (cold 12.1s)
2026-07-27T14:19:05.694+00:00 [qwen3.5-9b] ag-001-fix-bugs: ok, score 0.25, 12.4s, tok 2958/1057, retries 0
2026-07-27T15:32:10.914+00:00 [qwen3.5-9b] web-002-maze: ok, score 0.11, 103.8s, tok 750/18896, retries 0
2026-07-27T15:33:49.904+00:00 [qwen3.5-9b] web-003-sand: ok, score 0.70, 97.7s, tok 720/17725, retries 0
2026-07-27T15:35:12.513+00:00 [qwen3.5-9b] web-004-kanban: ok, score 0.33, 19.7s, tok 411/3285, retries 0
2026-07-27T15:38:13.787+00:00 [qwen3.5-9b] web-005-expense: ok, score 0.10, 28.6s, tok 523/4978, retries 0
2026-07-27T15:40:23.645+00:00 [qwen3.5-9b] web-006-spreadsheet: ok, score 0.00, 69.7s, tok 550/12657, retries 0
2026-07-27T15:40:55.287+00:00 [qwen3.5-9b] web-007-life: ok, score 1.00, 30.4s, tok 583/5303, retries 0
2026-07-27T15:41:29.586+00:00 [qwen3.5-9b] web-008-snake: ok, score 0.11, 33.1s, tok 547/5816, retries 0
2026-07-27T15:41:57.923+00:00 [qwen3.5-9b] web-009-physics: ok, score 1.00, 27.1s, tok 484/4700, retries 0
2026-07-27T15:42:17.185+00:00 [qwen3.5-9b] web-010-2048: ok, score 0.12, 18.1s, tok 537/3032, retries 0
2026-07-27T15:43:52.217+00:00 [qwen3.5-9b] web-011-sort: ok, score 0.17, 93.8s, tok 434/16986, retries 0
2026-07-27T15:45:40.106+00:00 [qwen3.5-9b] web-012-coin: ok, score 0.00, 106.4s, tok 917/19279, retries 0
2026-07-27T15:47:47.426+00:00 [qwen3.5-9b] web-013-billiards: ok, score 0.25, 125.9s, tok 769/23016, retries 0
2026-07-27T15:47:47.426+00:00 [qwen3.5-9b] lms: unloading to free VRAM...
2026-07-27T15:47:48.559+00:00 [qwen3.5-9b] lms: loading qwen/qwen3.5-9b @ context 212,992 (auto GPU offload) for 1 task(s)...
2026-07-27T15:47:58.247+00:00 [qwen3.5-9b] loaded @ 212,992 (cold 4.1s)
2026-07-27T15:54:16.086+00:00 [qwen3.5-9b] ctx-008-recall-128k: ok, score 1.00, 377.8s, tok 377198/35149, retries 1
2026-07-27T15:54:16.087+00:00 [qwen3.5-9b] done
2026-07-27T15:54:16.088+00:00 [qwen3.5-9b] gpu: peak 16,405 MB VRAM · avg 460 W · 734.03 Wh
2026-07-27T15:54:17.004+00:00 [qwen3.5-9b] lms: unloaded (VRAM freed)
