2026-08-22T22:49:57.176+00:00 [muse-glimmer] start (openai, local)
2026-08-22T22:49:57.225+00:00 [muse-glimmer] lms: unloading to free VRAM...
2026-08-22T22:49:57.466+00:00 [muse-glimmer] lms: loading meta/muse-glimmer @ context 212,992 (max GPU offload) for 56 task(s)...
2026-08-22T22:50:23.283+00:00 [muse-glimmer] loaded @ 212,992 (cold 20.2s)
2026-08-22T22:51:14.922+00:00 [muse-glimmer] ag-001-fix-bugs: ok, score 1.00, 51.3s, tok 11425/2651, retries 0
2026-08-22T23:05:34.942+00:00 [muse-glimmer] ctx-011-multihop-deep-32k: ok, score 1.00, 15.3s, tok 16577/556, retries 0
2026-08-22T23:12:49.332+00:00 [muse-glimmer] ctx-012-aggregate-reversals-32k: error, score 0.00, 434.4s, tok ?/?, retries 0
2026-08-22T23:28:57.769+00:00 [muse-glimmer] ctx-013-ledger-supersede-64k: error, score 0.00, 968.4s, tok 26233/32768, retries 1
2026-08-22T23:29:07.255+00:00 [muse-glimmer] ext-001-fields-json: ok, score 1.00, 9.1s, tok 174/363, retries 0
2026-08-22T23:29:27.328+00:00 [muse-glimmer] ext-002-nested-normalize: ok, score 1.00, 19.7s, tok 338/992, retries 0
2026-08-22T23:29:40.845+00:00 [muse-glimmer] hl-001-grounded-qa: ok, score 1.00, 13.2s, tok 219/618, retries 0
2026-08-22T23:29:56.921+00:00 [muse-glimmer] hl-002-abstain-hard: ok, score 1.00, 15.7s, tok 282/762, retries 0
2026-08-22T23:30:15.036+00:00 [muse-glimmer] if-001-format-exact: ok, score 1.00, 17.7s, tok 166/852, retries 0
2026-08-22T23:30:48.277+00:00 [muse-glimmer] if-002-constraint-stack: error, score 0.00, 33.2s, tok ?/?, retries 0
2026-08-22T23:31:08.243+00:00 [muse-glimmer] math-001-multistep: ok, score 1.00, 20.0s, tok 169/1018, retries 0
2026-08-22T23:31:20.871+00:00 [muse-glimmer] math-002-rate-mix: ok, score 1.00, 12.6s, tok 180/584, retries 0
2026-08-22T23:33:05.966+00:00 [muse-glimmer] py-003-date-parser: ok, score 1.00, 104.7s, tok 294/5607, retries 0
2026-08-22T23:36:30.373+00:00 [muse-glimmer] py-004-expr-eval: ok, score 1.00, 204.0s, tok 324/11165, retries 0
2026-08-22T23:47:17.973+00:00 [muse-glimmer] py-005-csv-parser: ok, score 1.00, 647.3s, tok 656/43939, retries 1
2026-08-22T23:47:42.736+00:00 [muse-glimmer] py-006-toposort: ok, score 1.00, 24.5s, tok 287/1656, retries 0
2026-08-22T23:49:03.443+00:00 [muse-glimmer] py-007-regex-engine: error, score 0.00, 80.7s, tok ?/?, retries 0
2026-08-22T23:50:37.064+00:00 [muse-glimmer] py-008-json-parser: error, score 0.00, 93.6s, tok ?/?, retries 0
2026-08-22T23:51:48.911+00:00 [muse-glimmer] rs-006-string-pipeline: ok, score 0.00, 71.8s, tok 243/4921, retries 0
2026-08-22T23:52:29.629+00:00 [muse-glimmer] rs-008-river-boat: ok, score 1.00, 40.7s, tok 232/2944, retries 0
2026-08-22T23:53:02.450+00:00 [muse-glimmer] rs-009-birthday-twist: ok, score 1.00, 32.8s, tok 188/2109, retries 0
2026-08-22T23:54:24.997+00:00 [muse-glimmer] rs-010-ants-rod: ok, score 1.00, 82.5s, tok 210/5454, retries 0
2026-08-22T23:54:35.610+00:00 [muse-glimmer] rs-011-gear-axle-train: ok, score 1.00, 10.6s, tok 335/581, retries 0
2026-08-22T23:55:05.950+00:00 [muse-glimmer] rs-012-permutation-track: ok, score 1.00, 30.3s, tok 356/1952, retries 0
2026-08-22T23:55:54.259+00:00 [muse-glimmer] rs-013-statemachine-trace: ok, score 1.00, 48.0s, tok 718/3118, retries 0
2026-08-22T23:57:10.388+00:00 [muse-glimmer] rs-014-ledger-amend-chain: ok, score 1.00, 76.1s, tok 1276/4889, retries 0
2026-08-22T23:57:19.158+00:00 [muse-glimmer] tool-001-select-call: ok, score 1.00, 8.4s, tok 240/420, retries 0
2026-08-22T23:57:25.819+00:00 [muse-glimmer] tool-002-select-hard: ok, score 1.00, 6.3s, tok 256/273, retries 0
2026-08-22T23:59:12.234+00:00 [muse-glimmer] web-001-desktop: ok, score 1.00, 100.7s, tok 617/6540, retries 0
2026-08-23T00:02:54.028+00:00 [muse-glimmer] web-002-maze: ok, score 0.11, 220.2s, tok 736/14825, retries 0
2026-08-23T00:06:22.574+00:00 [muse-glimmer] web-003-sand: ok, score 0.90, 206.9s, tok 694/14885, retries 0
2026-08-23T00:07:35.361+00:00 [muse-glimmer] web-004-kanban: ok, score 1.00, 68.9s, tok 409/4703, retries 0
2026-08-23T00:09:28.077+00:00 [muse-glimmer] web-005-expense: ok, score 1.00, 108.3s, tok 500/6408, retries 0
2026-08-23T00:15:07.747+00:00 [muse-glimmer] web-006-spreadsheet: ok, score 1.00, 336.5s, tok 533/20131, retries 0
2026-08-23T00:16:06.596+00:00 [muse-glimmer] web-007-life: ok, score 1.00, 57.6s, tok 565/4038, retries 0
2026-08-23T00:17:30.072+00:00 [muse-glimmer] web-008-snake: ok, score 1.00, 82.2s, tok 524/5566, retries 0
2026-08-23T00:18:22.264+00:00 [muse-glimmer] web-009-physics: ok, score 1.00, 50.9s, tok 471/3652, retries 0
2026-08-23T00:19:46.980+00:00 [muse-glimmer] web-010-2048: ok, score 1.00, 83.5s, tok 526/5801, retries 0
2026-08-23T00:20:40.399+00:00 [muse-glimmer] web-011-sort: ok, score 1.00, 52.2s, tok 427/3502, retries 0
2026-08-23T00:25:41.011+00:00 [muse-glimmer] web-012-coin: ok, score 0.00, 298.9s, tok 902/22112, retries 0
2026-08-23T00:27:52.834+00:00 [muse-glimmer] web-013-billiards: ok, score 0.80, 130.2s, tok 759/9499, retries 0
2026-08-23T00:27:52.834+00:00 [muse-glimmer] done
2026-08-23T00:27:52.837+00:00 [muse-glimmer] gpu: peak 25,946 MB VRAM · avg 506 W · 826.42 Wh
2026-08-23T00:27:55.334+00:00 [muse-glimmer] lms: unloaded (VRAM freed)
