2026-07-30T02:01:47.938+00:00 [ornith-1.0-9b] start (openai, local)
2026-07-30T02:01:47.974+00:00 [ornith-1.0-9b] lms: unloading to free VRAM...
2026-07-30T02:01:48.202+00:00 [ornith-1.0-9b] lms: loading ornith-1.0-9b @ context 131,072 (max GPU offload) for 54 task(s)...
2026-07-30T02:01:59.406+00:00 [ornith-1.0-9b] loaded @ 131,072 (cold 6.0s)
2026-07-30T02:02:26.899+00:00 [ornith-1.0-9b] ag-001-fix-bugs: ok, score 1.00, 27.2s, tok 10078/1841, retries 0
2026-07-30T02:55:50.485+00:00 [ornith-1.0-9b] py-008-json-parser: ok, score 0.43, 298.0s, tok 722/40388, retries 1
2026-07-30T02:56:57.738+00:00 [ornith-1.0-9b] rs-006-string-pipeline: ok, score 1.00, 67.2s, tok 245/9260, retries 0
2026-07-30T02:59:32.281+00:00 [ornith-1.0-9b] rs-008-river-boat: ok, score 1.00, 154.5s, tok 229/21291, retries 0
2026-07-30T03:00:35.900+00:00 [ornith-1.0-9b] rs-009-birthday-twist: ok, score 1.00, 63.6s, tok 184/8717, retries 0
2026-07-30T03:03:01.039+00:00 [ornith-1.0-9b] rs-010-ants-rod: ok, score 1.00, 145.1s, tok 211/19965, retries 0
2026-07-30T03:03:31.563+00:00 [ornith-1.0-9b] rs-011-gear-axle-train: ok, score 1.00, 30.5s, tok 349/4046, retries 0
2026-07-30T03:05:09.973+00:00 [ornith-1.0-9b] rs-012-permutation-track: ok, score 1.00, 98.4s, tok 363/13610, retries 0
2026-07-30T03:06:26.821+00:00 [ornith-1.0-9b] rs-013-statemachine-trace: ok, score 0.00, 76.6s, tok 755/10555, retries 0
2026-07-30T03:06:30.191+00:00 [ornith-1.0-9b] tool-001-select-call: ok, score 1.00, 3.1s, tok 238/91, retries 0
2026-07-30T03:06:33.765+00:00 [ornith-1.0-9b] tool-002-select-hard: ok, score 1.00, 3.3s, tok 254/109, retries 0
2026-07-30T03:08:29.953+00:00 [ornith-1.0-9b] web-001-desktop: ok, score 0.60, 52.4s, tok 639/7140, retries 0
2026-07-30T03:16:34.610+00:00 [ornith-1.0-9b] web-002-maze: error, score 0.00, 484.7s, tok 1500/65536, retries 1
2026-07-30T03:24:37.862+00:00 [ornith-1.0-9b] web-003-sand: error, score 0.00, 483.2s, tok 1440/65536, retries 1
2026-07-30T03:26:36.637+00:00 [ornith-1.0-9b] web-004-kanban: ok, score 0.22, 26.2s, tok 411/3403, retries 0
2026-07-30T03:28:10.517+00:00 [ornith-1.0-9b] web-005-expense: ok, score 0.10, 30.3s, tok 523/3988, retries 0
2026-07-30T03:36:15.271+00:00 [ornith-1.0-9b] web-006-spreadsheet: error, score 0.00, 484.7s, tok 1100/65536, retries 1
2026-07-30T03:36:46.148+00:00 [ornith-1.0-9b] web-007-life: ok, score 0.38, 29.7s, tok 583/3878, retries 0
2026-07-30T03:37:10.851+00:00 [ornith-1.0-9b] web-008-snake: ok, score 0.22, 23.6s, tok 547/3021, retries 0
2026-07-30T03:37:35.676+00:00 [ornith-1.0-9b] web-009-physics: ok, score 1.00, 23.7s, tok 484/3057, retries 0
2026-07-30T03:38:17.024+00:00 [ornith-1.0-9b] web-010-2048: ok, score 0.12, 40.2s, tok 537/5417, retries 0
2026-07-30T03:38:37.776+00:00 [ornith-1.0-9b] web-011-sort: ok, score 0.83, 19.6s, tok 434/2474, retries 0
2026-07-30T03:39:59.240+00:00 [ornith-1.0-9b] web-012-coin: ok, score 0.00, 80.0s, tok 917/10989, retries 0
2026-07-30T03:40:48.581+00:00 [ornith-1.0-9b] web-013-billiards: ok, score 0.00, 48.1s, tok 769/6538, retries 0
2026-07-30T03:40:48.581+00:00 [ornith-1.0-9b] lms: unloading to free VRAM...
2026-07-30T03:40:50.094+00:00 [ornith-1.0-9b] lms: loading ornith-1.0-9b @ context 212,992 (auto GPU offload) for 1 task(s)...
2026-07-30T03:40:59.950+00:00 [ornith-1.0-9b] loaded @ 212,992 (cold 4.7s)
2026-07-30T03:46:28.687+00:00 [ornith-1.0-9b] ctx-008-recall-128k: ok, score 1.00, 328.7s, tok 377198/25319, retries 1
2026-07-30T03:46:28.687+00:00 [ornith-1.0-9b] done
2026-07-30T03:46:28.693+00:00 [ornith-1.0-9b] gpu: peak 17,129 MB VRAM · avg 401 W · 700.14 Wh
2026-07-30T03:46:29.996+00:00 [ornith-1.0-9b] lms: unloaded (VRAM freed)
